scope,front_type,budget,indicator,rank,parameter_family,importance,normalized_importance,n_samples
RWA3D,referenceFronts,3000,HVMinus,19,laplaceCrossoverScale,2.9094720158156443e-05,2.9094720158156453e-05,411
RE3D,estimatedReferenceFronts,3000,EP,1,linkedPolynomialMutationDistributionIndex,0.16163295949890522,0.16163295949890522,938
RE3D,estimatedReferenceFronts,3000,EP,2,blxAlphaBetaCrossoverBeta,0.15644770722117632,0.15644770722117632,938
RE3D,estimatedReferenceFronts,3000,EP,3,blxAlphaBetaCrossoverAlpha,0.12457751277596457,0.12457751277596457,938
RE3D,estimatedReferenceFronts,3000,EP,4,polynomialMutationDistributionIndex,0.11027436541214737,0.11027436541214737,938
RE3D,estimatedReferenceFronts,3000,EP,5,archiveType,0.09530928410237546,0.09530928410237546,938
RE3D,estimatedReferenceFronts,3000,EP,6,mutationProbabilityFactor,0.09220970443800901,0.09220970443800901,938
RE3D,estimatedReferenceFronts,3000,EP,7,populationSizeWithArchive,0.0820781496551451,0.0820781496551451,938
RE3D,estimatedReferenceFronts,3000,EP,8,mutation,0.06707590773670775,0.06707590773670775,938
RE3D,estimatedReferenceFronts,3000,EP,9,selection,0.04286600576111821,0.04286600576111821,938
RE3D,estimatedReferenceFronts,3000,EP,10,powerLawMutationDelta,0.015488001231372117,0.015488001231372117,938
RE3D,estimatedReferenceFronts,3000,EP,11,crossoverProbability,0.010290123560490215,0.010290123560490215,938
RE3D,estimatedReferenceFronts,3000,EP,12,mutationRepairStrategy,0.008013752251392522,0.008013752251392522,938
RE3D,estimatedReferenceFronts,3000,EP,13,offspringPopulationSize,0.007714254330889066,0.007714254330889066,938
RE3D,estimatedReferenceFronts,3000,EP,14,createInitialSolutions,0.006613872543908664,0.006613872543908664,938
RE3D,estimatedReferenceFronts,3000,EP,15,levyFlightMutationStepSize,0.004025780136747343,0.004025780136747343,938
RE3D,estimatedReferenceFronts,3000,EP,16,levyFlightMutationBeta,0.003533454629151236,0.003533454629151236,938
RE3D,estimatedReferenceFronts,3000,EP,17,boltzmannTemperature,0.003018934770339592,0.003018934770339592,938
RE3D,estimatedReferenceFronts,3000,EP,18,uniformMutationPerturbation,0.0029819277376926462,0.0029819277376926462,938
RE3D,estimatedReferenceFronts,3000,EP,19,crossoverRepairStrategy,0.0022365132201721634,0.0022365132201721634,938
RE3D,estimatedReferenceFronts,3000,EP,20,crossover,0.0016384249526383184,0.0016384249526383184,938
RE3D,estimatedReferenceFronts,3000,EP,21,nonUniformMutationPerturbation,0.0007281481390290323,0.0007281481390290323,938
