# Evaluation: 0

EP=0.3935112853030225 HVMinus=-0.5850928434246897 | --algorithmResult externalArchive --populationSizeWithArchive 64 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.12708082023354764 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.03267129713679101 --pcxCrossoverEta 0.09678012270530509 --mutation powerLaw --mutationProbabilityFactor 1.1975838078664225 --mutationRepairStrategy round --powerLawMutationDelta 9.804965312248637 --selection boltzmann --boltzmannTemperature 24.02974329137764 
EP=0.3918731141362239 HVMinus=-0.5842254335881581 | --algorithmResult externalArchive --populationSizeWithArchive 187 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover SBX --crossoverProbability 0.5004608073496286 --crossoverRepairStrategy bounds --sbxDistributionIndex 368.6645498026133 --mutation levyFlight --mutationProbabilityFactor 0.8371327824661949 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.8512942506771524 --levyFlightMutationStepSize 0.49304615945825586 --selection stochasticUniversalSampling 

# Evaluation: 400
EP=0.39287997524482554 HVMinus=-0.5855065894468444 | --algorithmResult externalArchive --populationSizeWithArchive 62 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.12708082023354764 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9138083382240132 --mutation powerLaw --mutationProbabilityFactor 1.1975838078664225 --mutationRepairStrategy round --powerLawMutationDelta 9.562954718367543 --selection boltzmann --boltzmannTemperature 24.02974329137764 
EP=0.3920268534231441 HVMinus=-0.585486743333466 | --algorithmResult externalArchive --populationSizeWithArchive 64 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.5900175819887528 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.4980338611155479 --mutation powerLaw --mutationProbabilityFactor 1.1975838078664225 --mutationRepairStrategy round --powerLawMutationDelta 9.773111172243185 --selection tournament --selectionTournamentSize 9 
EP=0.3916829619213494 HVMinus=-0.5848220610216093 | --algorithmResult externalArchive --populationSizeWithArchive 64 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.11958300759696583 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.6992088937471089 --pcxCrossoverEta 0.09364905342072916 --mutation levyFlight --mutationProbabilityFactor 0.8476981726504456 --mutationRepairStrategy round --levyFlightMutationBeta 1.1928593079525105 --levyFlightMutationStepSize 0.731070274552069 --selection stochasticUniversalSampling 

# Evaluation: 500
EP=0.39130669405058366 HVMinus=-0.5848938884227273 | --algorithmResult externalArchive --populationSizeWithArchive 27 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.14333375115593155 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.5884091243386835 --mutation levyFlight --mutationProbabilityFactor 0.8216159221478186 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2059091123042611 --levyFlightMutationStepSize 0.8737642578462758 --selection random 
EP=0.3920014515376182 HVMinus=-0.5855798979033131 | --algorithmResult externalArchive --populationSizeWithArchive 62 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.12708082023354764 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9138083382240132 --mutation powerLaw --mutationProbabilityFactor 1.1975838078664225 --mutationRepairStrategy round --powerLawMutationDelta 9.562954718367543 --selection tournament --selectionTournamentSize 9 

# Evaluation: 600
EP=0.39130669405058366 HVMinus=-0.5848938884227273 | --algorithmResult externalArchive --populationSizeWithArchive 27 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.14333375115593155 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.5884091243386835 --mutation levyFlight --mutationProbabilityFactor 0.8216159221478186 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2059091123042611 --levyFlightMutationStepSize 0.8737642578462758 --selection random 
EP=0.3920014515376182 HVMinus=-0.5855798979033131 | --algorithmResult externalArchive --populationSizeWithArchive 62 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.12708082023354764 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9138083382240132 --mutation powerLaw --mutationProbabilityFactor 1.1975838078664225 --mutationRepairStrategy round --powerLawMutationDelta 9.562954718367543 --selection tournament --selectionTournamentSize 9 
EP=0.3923419648352838 HVMinus=-0.5856492518732471 | --algorithmResult externalArchive --populationSizeWithArchive 27 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.14333375115593155 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9093472206119896 --mutation powerLaw --mutationProbabilityFactor 0.8451417767645295 --mutationRepairStrategy bounds --powerLawMutationDelta 9.625876947142974 --selection random 
