family,front_type,budget,view,quantile,parameter,category,observed_share,elite_share,elite_over_representation
RE3D,extremePointsFronts,1000,EP,0.2,createInitialSolutions,cauchy,0.4148936170212766,0.3333333333333333,-0.08156028368794327
RE3D,extremePointsFronts,1000,EP,0.2,createInitialSolutions,default,0.10638297872340426,0.10526315789473684,-0.00111982082866742
RE3D,extremePointsFronts,1000,EP,0.2,createInitialSolutions,latinHypercubeSampling,0.12056737588652482,0.15789473684210525,0.03732736095558044
RE3D,extremePointsFronts,1000,EP,0.2,createInitialSolutions,oppositionBased,0.06382978723404255,0.07017543859649122,0.006345651362448676
RE3D,extremePointsFronts,1000,EP,0.2,createInitialSolutions,scatterSearch,0.12411347517730496,0.17543859649122806,0.0513251213139231
RE3D,extremePointsFronts,1000,EP,0.2,createInitialSolutions,sobol,0.1702127659574468,0.15789473684210525,-0.01231802911534155
RE3D,extremePointsFronts,1000,HV,0.05,createInitialSolutions,cauchy,0.4148936170212766,0.6,0.1851063829787234
RE3D,extremePointsFronts,1000,HV,0.05,createInitialSolutions,default,0.10638297872340426,0.0,-0.10638297872340426
RE3D,extremePointsFronts,1000,HV,0.05,createInitialSolutions,latinHypercubeSampling,0.12056737588652482,0.13333333333333333,0.012765957446808515
RE3D,extremePointsFronts,1000,HV,0.05,createInitialSolutions,oppositionBased,0.06382978723404255,0.0,-0.06382978723404255
RE3D,extremePointsFronts,1000,HV,0.05,createInitialSolutions,scatterSearch,0.12411347517730496,0.2,0.07588652482269505
RE3D,extremePointsFronts,1000,HV,0.05,createInitialSolutions,sobol,0.1702127659574468,0.06666666666666667,-0.10354609929078014
RE3D,extremePointsFronts,1000,HV,0.1,createInitialSolutions,cauchy,0.4148936170212766,0.5172413793103449,0.10234776228906828
RE3D,extremePointsFronts,1000,HV,0.1,createInitialSolutions,default,0.10638297872340426,0.034482758620689655,-0.0719002201027146
RE3D,extremePointsFronts,1000,HV,0.1,createInitialSolutions,latinHypercubeSampling,0.12056737588652482,0.13793103448275862,0.017363658596233802
RE3D,extremePointsFronts,1000,HV,0.1,createInitialSolutions,oppositionBased,0.06382978723404255,0.034482758620689655,-0.029347028613352893
RE3D,extremePointsFronts,1000,HV,0.1,createInitialSolutions,scatterSearch,0.12411347517730496,0.13793103448275862,0.013817559305453656
RE3D,extremePointsFronts,1000,HV,0.1,createInitialSolutions,sobol,0.1702127659574468,0.13793103448275862,-0.032281731474688186
RE3D,extremePointsFronts,1000,HV,0.2,createInitialSolutions,cauchy,0.4148936170212766,0.45614035087719296,0.04124673385591637
RE3D,extremePointsFronts,1000,HV,0.2,createInitialSolutions,default,0.10638297872340426,0.08771929824561403,-0.018663680477790226
RE3D,extremePointsFronts,1000,HV,0.2,createInitialSolutions,latinHypercubeSampling,0.12056737588652482,0.17543859649122806,0.054871220604703244
RE3D,extremePointsFronts,1000,HV,0.2,createInitialSolutions,oppositionBased,0.06382978723404255,0.017543859649122806,-0.04628592758491974
RE3D,extremePointsFronts,1000,HV,0.2,createInitialSolutions,scatterSearch,0.12411347517730496,0.10526315789473684,-0.018850317282568127
RE3D,extremePointsFronts,1000,HV,0.2,createInitialSolutions,sobol,0.1702127659574468,0.15789473684210525,-0.01231802911534155
RE3D,extremePointsFronts,1000,joint,0.05,createInitialSolutions,cauchy,0.4148936170212766,0.3333333333333333,-0.08156028368794327
RE3D,extremePointsFronts,1000,joint,0.05,createInitialSolutions,default,0.10638297872340426,0.2,0.09361702127659575
RE3D,extremePointsFronts,1000,joint,0.05,createInitialSolutions,latinHypercubeSampling,0.12056737588652482,0.06666666666666667,-0.05390070921985815
RE3D,extremePointsFronts,1000,joint,0.05,createInitialSolutions,oppositionBased,0.06382978723404255,0.0,-0.06382978723404255
RE3D,extremePointsFronts,1000,joint,0.05,createInitialSolutions,scatterSearch,0.12411347517730496,0.26666666666666666,0.14255319148936169
RE3D,extremePointsFronts,1000,joint,0.05,createInitialSolutions,sobol,0.1702127659574468,0.13333333333333333,-0.03687943262411347
RE3D,extremePointsFronts,1000,joint,0.1,createInitialSolutions,cauchy,0.4148936170212766,0.3448275862068966,-0.07006603081438001
RE3D,extremePointsFronts,1000,joint,0.1,createInitialSolutions,default,0.10638297872340426,0.13793103448275862,0.03154805575935436
RE3D,extremePointsFronts,1000,joint,0.1,createInitialSolutions,latinHypercubeSampling,0.12056737588652482,0.13793103448275862,0.017363658596233802
