family,front_type,budget,view,quantile,parameter,parameter_kind,observed_n,elite_n,observed_unique,elite_unique,dominant_category,dominant_share
RE3D,extremePointsFronts,1000,EP,0.05,mutation,categorical,282,15,6,4,levyFlight,0.6
RE3D,extremePointsFronts,1000,EP,0.1,mutation,categorical,282,29,6,4,levyFlight,0.6551724137931034
RE3D,extremePointsFronts,1000,EP,0.2,mutation,categorical,282,57,6,4,levyFlight,0.5964912280701754
RE3D,extremePointsFronts,1000,HV,0.05,mutation,categorical,282,15,6,2,powerLaw,0.7333333333333333
RE3D,extremePointsFronts,1000,HV,0.1,mutation,categorical,282,29,6,5,powerLaw,0.4827586206896552
RE3D,extremePointsFronts,1000,HV,0.2,mutation,categorical,282,57,6,5,powerLaw,0.42105263157894735
RE3D,extremePointsFronts,1000,joint,0.05,mutation,categorical,282,15,6,3,levyFlight,0.4666666666666667
RE3D,extremePointsFronts,1000,joint,0.1,mutation,categorical,282,29,6,4,levyFlight,0.4482758620689655
RE3D,extremePointsFronts,1000,joint,0.2,mutation,categorical,282,57,6,4,powerLaw,0.5263157894736842
RE3D,extremePointsFronts,1000,EP,0.05,mutationRepairStrategy,categorical,282,15,3,2,bounds,0.8666666666666667
RE3D,extremePointsFronts,1000,EP,0.1,mutationRepairStrategy,categorical,282,29,3,3,bounds,0.7931034482758621
RE3D,extremePointsFronts,1000,EP,0.2,mutationRepairStrategy,categorical,282,57,3,3,bounds,0.8245614035087719
RE3D,extremePointsFronts,1000,HV,0.05,mutationRepairStrategy,categorical,282,15,3,2,bounds,0.5333333333333333
RE3D,extremePointsFronts,1000,HV,0.1,mutationRepairStrategy,categorical,282,29,3,2,bounds,0.6551724137931034
RE3D,extremePointsFronts,1000,HV,0.2,mutationRepairStrategy,categorical,282,57,3,2,bounds,0.7017543859649122
RE3D,extremePointsFronts,1000,joint,0.05,mutationRepairStrategy,categorical,282,15,3,2,bounds,0.8
RE3D,extremePointsFronts,1000,joint,0.1,mutationRepairStrategy,categorical,282,29,3,2,bounds,0.6896551724137931
