feature,mdi_importance,permutation_importance_mean,permutation_importance_std,mdi_rank,permutation_rank,family,front_type
pcxCrossoverZeta,0.003393110011016823,0.005025445613049312,0.0030680162589262175,19,11,RE3D,referenceFronts
pcxCrossoverEta,0.002651178414687032,0.003945863322764453,0.002415898833662332,20,12,RE3D,referenceFronts
nonUniformMutationPerturbation,0.0025148236176185876,0.0029213258957160094,0.0015791408023318476,21,13,RE3D,referenceFronts
mutation,0.0024648371373676395,-0.00232757973182694,0.002532720415969693,22,23,RE3D,referenceFronts
uniformMutationPerturbation,0.0016184286922061566,0.0001778378269900127,0.0003321251665800531,23,16,RE3D,referenceFronts
linkedPolynomialMutationDistributionIndex,0.00018167423198825713,-2.8987923172962837e-13,1.4572616310886608e-13,24,18,RE3D,referenceFronts
variation,0.0,-2.9426461267689774e-13,1.0156155842600957e-13,25,19,RE3D,referenceFronts
algorithmResult,0.0,-3.020250716190276e-13,1.0956077388408688e-13,26,20,RE3D,referenceFronts
archiveType,0.0,-1.9717005805830468e-13,1.0114972902195388e-13,27,17,RE3D,referenceFronts
crossover,0.16703706592020146,0.1393628299210044,0.08354367557066242,1,2,RE3D,extremePointsFronts
blxAlphaBetaCrossoverBeta,0.1465866323510078,0.21009830076438366,0.10542126324795303,2,1,RE3D,extremePointsFronts
laplaceCrossoverScale,0.12122709044709255,0.06501817871007469,0.054375660923875455,3,5,RE3D,extremePointsFronts
populationSizeWithArchive,0.10465246276387169,0.08802082287739828,0.04068512967357346,4,4,RE3D,extremePointsFronts
crossoverProbability,0.10100224284303387,0.020987501270003546,0.06153036960229724,5,6,RE3D,extremePointsFronts
blxAlphaBetaCrossoverAlpha,0.05859377289224648,0.00840538218944099,0.02213660256851576,6,10,RE3D,extremePointsFronts
powerLawMutationDelta,0.05367338275211793,0.08807271396348797,0.03308722608303894,7,3,RE3D,extremePointsFronts
mutationProbabilityFactor,0.044962288990384874,0.013244135492639492,0.019792461665645182,8,7,RE3D,extremePointsFronts
selectionTournamentSize,0.02641900005170675,-0.005578641929171746,0.0038610554772631448,9,22,RE3D,extremePointsFronts
blxAlphaCrossoverAlpha,0.02569442047108598,0.0003222292611005484,0.015587839671063192,10,14,RE3D,extremePointsFronts
mutationRepairStrategy,0.024250309632239862,0.005448815860736767,0.014846751118640486,11,11,RE3D,extremePointsFronts
boltzmannTemperature,0.020330995204945513,-0.030818245408864558,0.02597037126127065,12,25,RE3D,extremePointsFronts
createInitialSolutions,0.019244808927473468,-0.03139054416430074,0.03438270828925977,13,26,RE3D,extremePointsFronts
linkedPolynomialMutationDistributionIndex,0.01640511311776309,5.861422458508514e-14,6.939779783126917e-14,14,18,RE3D,extremePointsFronts
levyFlightMutationStepSize,0.01584019589577766,0.0099363846128952,0.0074527228854873485,15,9,RE3D,extremePointsFronts
offspringPopulationSize,0.014728446988066551,0.004105461323721938,0.009455365400374565,16,12,RE3D,extremePointsFronts
mutation,0.010220512299735435,0.011390501137598447,0.005541337512158695,17,8,RE3D,extremePointsFronts
levyFlightMutationBeta,0.009831273234392196,-0.0075606750193834785,0.003112157854875123,18,23,RE3D,extremePointsFronts
nonUniformMutationPerturbation,0.007819400763410565,-0.008986576621696473,0.011309580272319975,19,24,RE3D,extremePointsFronts
selection,0.004952852040024295,0.003350024101403054,0.0017709402256148364,20,13,RE3D,extremePointsFronts
polynomialMutationDistributionIndex,0.0038748032614167494,7.984723993104126e-14,6.907066400152901e-14,21,17,RE3D,extremePointsFronts
crossoverRepairStrategy,0.002456589182613386,-3.631999214692705e-05,0.0016568554319483493,22,21,RE3D,extremePointsFronts
uniformMutationPerturbation,0.0001963399693918652,5.810352199375757e-14,6.654219919733315e-14,23,19,RE3D,extremePointsFronts
variation,0.0,8.310019339319297e-14,7.451568079777456e-14,24,15,RE3D,extremePointsFronts
algorithmResult,0.0,4.2471581807035365e-14,9.789944160274862e-14,25,20,RE3D,extremePointsFronts
archiveType,0.0,7.998046669399627e-14,7.912965674732196e-14,26,16,RE3D,extremePointsFronts
mutationRepairStrategy,0.42562601015521506,0.7038399534762793,0.22533554719875956,1,1,RWA3D,referenceFronts
crossoverProbability,0.3921255925166196,0.35743217370720226,0.16956076880730106,2,2,RWA3D,referenceFronts
levyFlightMutationBeta,0.039099967573795164,-0.002239537583003054,0.0024520502208070522,3,24,RWA3D,referenceFronts
mutationProbabilityFactor,0.037191283775347105,0.022506352672606738,0.021089153091133968,4,4,RWA3D,referenceFronts
populationSizeWithArchive,0.026873722628698218,-0.0037739679795579075,0.018678631653401428,5,25,RWA3D,referenceFronts
powerLawMutationDelta,0.026519200232766164,0.03174953233938952,0.015640855527637117,6,3,RWA3D,referenceFronts
blxAlphaBetaCrossoverBeta,0.012740157780016971,-0.006813795951232465,0.007207190490226978,7,27,RWA3D,referenceFronts
mutation,0.007751881462207222,-0.0021236391547830246,0.0018394014427844468,8,23,RWA3D,referenceFronts
offspringPopulationSize,0.0063456683182827375,-0.00012222461947055673,0.002640556374643649,9,21,RWA3D,referenceFronts
blxAlphaBetaCrossoverAlpha,0.0056104498711760774,-0.004907597058630875,0.010139076996160875,10,26,RWA3D,referenceFronts
levyFlightMutationStepSize,0.003889080446958919,0.000427451811477747,0.0012853293388394268,11,9,RWA3D,referenceFronts
blxAlphaCrossoverAlpha,0.0034075339726446483,0.002595058041651632,0.0016847277563027429,12,6,RWA3D,referenceFronts
createInitialSolutions,0.002855041962987055,0.0008233678438746506,0.0017555021267282485,13,7,RWA3D,referenceFronts
crossoverRepairStrategy,0.0023780018978915487,0.003991656637293539,0.004282260877919633,14,5,RWA3D,referenceFronts
selection,0.0023259434154064168,0.0005421891557630786,0.0012809047247010355,15,8,RWA3D,referenceFronts
boltzmannTemperature,0.0019265694193834715,3.192795890429867e-05,0.0008335770568638051,16,12,RWA3D,referenceFronts
laplaceCrossoverScale,0.0010769983734026422,-0.0002143193172315594,0.00012818668410074951,17,22,RWA3D,referenceFronts
crossover,0.0008217823054468311,8.157699320434087e-05,0.00015615640463717719,18,10,RWA3D,referenceFronts
selectionTournamentSize,0.000611321320794966,3.246545421575764e-05,0.0003097854076658713,19,11,RWA3D,referenceFronts
sbxDistributionIndex,0.0005783039419296493,7.30526750203353e-14,5.909448201753829e-14,20,18,RWA3D,referenceFronts
pcxCrossoverZeta,0.00019039077795867258,7.118750033896504e-14,4.951716165655628e-14,21,20,RWA3D,referenceFronts
pcxCrossoverEta,3.777768708045402e-05,1.0182965581861936e-13,7.112260270450085e-14,22,13,RWA3D,referenceFronts
undcCrossoverZeta,8.879604151996327e-06,8.132383655379272e-14,3.9191163690652204e-14,23,16,RWA3D,referenceFronts
undcCrossoverEta,8.440559838166264e-06,9.014455848443959e-14,4.9911476951064236e-14,24,15,RWA3D,referenceFronts
variation,0.0,7.185363415374014e-14,6.276767009228251e-14,25,19,RWA3D,referenceFronts
algorithmResult,0.0,7.872591467616985e-14,4.75429324299757e-14,26,17,RWA3D,referenceFronts
archiveType,0.0,9.175993298526919e-14,6.658046911193983e-14,27,14,RWA3D,referenceFronts
crossoverProbability,0.6694226608325781,0.9023936992476885,0.2916341923795699,1,1,RWA3D,extremePointsFronts
mutationRepairStrategy,0.08790644942588288,0.05939063610860847,0.04175868439380566,2,3,RWA3D,extremePointsFronts
mutationProbabilityFactor,0.0862852406872253,0.22900960071729629,0.08189600563923295,3,2,RWA3D,extremePointsFronts
populationSizeWithArchive,0.07636977859894307,0.0507697468118258,0.07146588359622066,4,4,RWA3D,extremePointsFronts
createInitialSolutions,0.020080613809421794,0.015628758802110808,0.007775389851420743,5,5,RWA3D,extremePointsFronts
powerLawMutationDelta,0.01671542629965791,-0.0004920006630498352,0.01553168020742841,6,18,RWA3D,extremePointsFronts
selectionTournamentSize,0.011401327996430946,-0.0013076865159508955,0.004236969409314084,7,21,RWA3D,extremePointsFronts
laplaceCrossoverScale,0.008422279132382282,0.00467072980967444,0.003323243575788452,8,7,RWA3D,extremePointsFronts
offspringPopulationSize,0.00466198609837215,0.005181004340009604,0.005101772471615911,9,6,RWA3D,extremePointsFronts
selection,0.004444109964819925,-0.0022777756578828577,0.001168985512967577,10,22,RWA3D,extremePointsFronts
blxAlphaCrossoverAlpha,0.003840576708782721,0.0007115366116457134,0.004504176067372782,11,10,RWA3D,extremePointsFronts
blxAlphaBetaCrossoverAlpha,0.002218706963203083,-0.0007226848255046991,0.004012360036389802,12,19,RWA3D,extremePointsFronts
blxAlphaBetaCrossoverBeta,0.0019891683983142873,-0.0011039193432316908,0.0016121849496211673,13,20,RWA3D,extremePointsFronts
crossoverRepairStrategy,0.0017272845999287529,0.0010837901444407827,0.0010265424047046173,14,8,RWA3D,extremePointsFronts
crossover,0.0016730825125539984,0.0009016958943299181,0.0009007524913997999,15,9,RWA3D,extremePointsFronts
boltzmannTemperature,0.0009988848384429034,0.0006233244868773024,0.0013180525482384172,16,11,RWA3D,extremePointsFronts
levyFlightMutationStepSize,0.0009040750967103487,-1.3195000647669985e-14,6.023813005964931e-14,17,17,RWA3D,extremePointsFronts
mutation,0.0007571528729930965,1.1735057370287905e-14,6.15003141713058e-14,18,14,RWA3D,extremePointsFronts
levyFlightMutationBeta,0.0001811951633564774,2.4197310821705286e-14,8.000636006507624e-14,19,13,RWA3D,extremePointsFronts
variation,0.0,-9.975353876257031e-15,6.884539682433233e-14,20,16,RWA3D,extremePointsFronts
algorithmResult,0.0,3.331779296900095e-14,7.560467098301074e-14,21,12,RWA3D,extremePointsFronts
archiveType,0.0,3.97459842815806e-15,4.601459390471197e-14,22,15,RWA3D,extremePointsFronts
