family,front_type,n_samples,test_r2,cv_r2_mean,cv_r2_std
RE3D,extremePointsFronts,120,0.4784564595517019,0.09774758522046176,0.8921596370826639
RE3D,referenceFronts,120,0.3648775244604302,0.37230145522016234,0.1332935634472905
RWA3D,extremePointsFronts,120,0.7210845302534228,0.6075681922000494,0.23676351014203192
RWA3D,referenceFronts,120,0.7500630484281409,0.6394606203164594,0.28155729760729525
