# Evaluation: 0

EP=0.39148309898750605 HVMinus=-0.5854220049353942 | --algorithmResult externalArchive --populationSizeWithArchive 147 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.18365635174266315 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.6297286402756379 --mutation powerLaw --mutationProbabilityFactor 1.702873723430292 --mutationRepairStrategy bounds --powerLawMutationDelta 9.918081962410405 --selection random 
EP=0.39224735009996975 HVMinus=-0.5855047181439398 | --algorithmResult externalArchive --populationSizeWithArchive 65 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.20644841539278944 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7720516866000777 --mutation powerLaw --mutationProbabilityFactor 1.702873723430292 --mutationRepairStrategy bounds --powerLawMutationDelta 9.918081962410405 --selection ranking 
EP=0.39112166978496865 HVMinus=-0.5846099922460569 | --algorithmResult externalArchive --populationSizeWithArchive 94 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover SBX --crossoverProbability 0.5946719583916943 --crossoverRepairStrategy round --sbxDistributionIndex 81.25547702818615 --mutation levyFlight --mutationProbabilityFactor 1.5650097194413755 --mutationRepairStrategy round --levyFlightMutationBeta 1.2589730540025565 --levyFlightMutationStepSize 0.6150845089578934 --selection tournament --selectionTournamentSize 4 
EP=0.3932453384896804 HVMinus=-0.5855858204414434 | --algorithmResult externalArchive --populationSizeWithArchive 147 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.18256045306049784 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7586357376810829 --mutation powerLaw --mutationProbabilityFactor 1.8267977858656403 --mutationRepairStrategy bounds --powerLawMutationDelta 9.900010857629864 --selection ranking 

# Evaluation: 600
EP=0.39112166978496865 HVMinus=-0.5846099922460569 | --algorithmResult externalArchive --populationSizeWithArchive 94 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover SBX --crossoverProbability 0.5946719583916943 --crossoverRepairStrategy round --sbxDistributionIndex 81.25547702818615 --mutation levyFlight --mutationProbabilityFactor 1.5650097194413755 --mutationRepairStrategy round --levyFlightMutationBeta 1.2589730540025565 --levyFlightMutationStepSize 0.6150845089578934 --selection tournament --selectionTournamentSize 4 
EP=0.3932453384896804 HVMinus=-0.5855858204414434 | --algorithmResult externalArchive --populationSizeWithArchive 147 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.18256045306049784 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7586357376810829 --mutation powerLaw --mutationProbabilityFactor 1.8267977858656403 --mutationRepairStrategy bounds --powerLawMutationDelta 9.900010857629864 --selection ranking 
EP=0.3914334110663445 HVMinus=-0.5855781898188916 | --algorithmResult externalArchive --populationSizeWithArchive 63 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7889023755982784 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7587852197561495 --mutation powerLaw --mutationProbabilityFactor 1.6756929129481477 --mutationRepairStrategy bounds --powerLawMutationDelta 9.917169569661953 --selection tournament --selectionTournamentSize 9 

