scheme,source_family,source_run,source_solution_id,source_config_id,source_config_signature,source_EP,source_HV,target_family,target_run,target_solution_id,target_config_id,target_config_signature,target_EP,target_HV,distance
gower_unweighted,RWA3D,14,8,RWA3D_run14_solution8,externalArchive|39.0|crowdingDistanceArchive|latinHypercubeSampling|5|crossoverAndMutationVariation|BLX-alpha-beta|0.912777|round|nan|nan|0.911861|0.831872|nan|nan|nan|nan|nan|nan|powerLaw|1.00587|bounds|nan|nan|nan|nan|nan|nan|7.961069|tournament|5.0|nan,-0.1130484014664107,0.8296491020659142,RE3D,7,8,RE3D_run7_solution8,externalArchive|29.0|unboundedArchive|latinHypercubeSampling|5|crossoverAndMutationVariation|BLX-alpha-beta|0.997589|round|nan|nan|0.895394|0.80377|nan|nan|nan|nan|nan|nan|powerLaw|0.060698|bounds|nan|nan|nan|nan|nan|nan|6.905791|tournament|2.0|nan,-0.2976611519838076,0.9971678232456176,0.06906116603103035
gower_unweighted,RWA3D,5,17,RWA3D_run5_solution17,externalArchive|12.0|crowdingDistanceArchive|scatterSearch|10|crossoverAndMutationVariation|BLX-alpha-beta|0.718386|round|nan|nan|0.633498|0.592742|nan|nan|nan|nan|nan|nan|powerLaw|1.203464|bounds|nan|nan|nan|nan|nan|nan|8.429016|boltzmann|nan|30.449932,-0.1131843542643797,0.8293861304927191,RE3D,16,17,RE3D_run16_solution17,externalArchive|21.0|unboundedArchive|scatterSearch|10|crossoverAndMutationVariation|BLX-alpha-beta|0.990068|round|nan|nan|0.552092|0.682796|nan|nan|nan|nan|nan|nan|powerLaw|1.023682|bounds|nan|nan|nan|nan|nan|nan|7.587005|boltzmann|nan|81.110126,-0.2995986259576045,0.9967807430560304,0.0698107590511169
gower_unweighted,RWA3D,30,14,RWA3D_run30_solution14,externalArchive|19.0|crowdingDistanceArchive|scatterSearch|20|crossoverAndMutationVariation|PCX|0.940826|bounds|nan|nan|nan|nan|nan|nan|0.965201|0.303426|nan|nan|powerLaw|1.422686|bounds|nan|nan|nan|nan|nan|nan|8.255282|ranking|nan|nan,-0.1132283135386144,0.8294383516229638,RE3D,14,8,RE3D_run14_solution8,externalArchive|27.0|crowdingDistanceArchive|scatterSearch|20|crossoverAndMutationVariation|PCX|0.929638|bounds|nan|nan|nan|nan|nan|nan|0.354644|0.131372|nan|nan|powerLaw|0.791463|round|nan|nan|nan|nan|nan|nan|8.842569|ranking|nan|nan,-0.2995314937232759,0.9970485568633188,0.07151418624895704
gower_unweighted,RWA3D,25,3,RWA3D_run25_solution3,externalArchive|17.0|crowdingDistanceArchive|latinHypercubeSampling|5|crossoverAndMutationVariation|PCX|0.790499|bounds|nan|nan|nan|nan|nan|nan|0.374253|0.426126|nan|nan|powerLaw|1.712289|bounds|nan|nan|nan|nan|nan|nan|6.577018|ranking|nan|nan,-0.1132822852868723,0.829177367616524,RE3D,14,4,RE3D_run14_solution4,externalArchive|23.0|crowdingDistanceArchive|latinHypercubeSampling|5|crossoverAndMutationVariation|PCX|0.923957|bounds|nan|nan|nan|nan|nan|nan|0.675547|0.291557|nan|nan|powerLaw|0.78858|round|nan|nan|nan|nan|nan|nan|8.260753|ranking|nan|nan,-0.2990520654387589,0.997125199474357,0.07153263509215091
gower_unweighted,RWA3D,3,1,RWA3D_run3_solution1,externalArchive|16.0|crowdingDistanceArchive|default|10|crossoverAndMutationVariation|PCX|0.998763|bounds|nan|nan|nan|nan|nan|nan|0.590091|0.306066|nan|nan|powerLaw|1.405994|bounds|nan|nan|nan|nan|nan|nan|9.827582|boltzmann|nan|73.084884,-0.1131952081380368,0.8294791807306726,RE3D,24,20,RE3D_run24_solution20,externalArchive|13.0|crowdingDistanceArchive|cauchy|10|crossoverAndMutationVariation|PCX|0.995411|bounds|nan|nan|nan|nan|nan|nan|0.539815|0.854636|nan|nan|powerLaw|0.901718|bounds|nan|nan|nan|nan|nan|nan|8.564255|boltzmann|nan|51.411918,-0.2990520655808776,0.9969622486731256,0.07172501124963321
gower_consensus_weighted,RE3D,21,16,RE3D_run21_solution16,externalArchive|30.0|crowdingDistanceArchive|latinHypercubeSampling|10|crossoverAndMutationVariation|BLX-alpha-beta|0.988084|round|nan|nan|0.998019|0.796752|nan|nan|nan|nan|nan|nan|powerLaw|0.988493|bounds|nan|nan|nan|nan|nan|nan|9.372597|boltzmann|nan|15.949179,-0.299707327821081,0.9965593680239762,RWA3D,15,8,RWA3D_run15_solution8,externalArchive|23.0|crowdingDistanceArchive|sobol|1|crossoverAndMutationVariation|BLX-alpha-beta|0.961219|round|nan|nan|0.955314|0.684973|nan|nan|nan|nan|nan|nan|powerLaw|0.948783|bounds|nan|nan|nan|nan|nan|nan|8.894447|boltzmann|nan|48.618977,-0.1125379155879698,0.8298237857892867,0.04276335787454128
gower_consensus_weighted,RE3D,21,2,RE3D_run21_solution2,externalArchive|33.0|crowdingDistanceArchive|cauchy|10|crossoverAndMutationVariation|PCX|0.986365|bounds|nan|nan|nan|nan|nan|nan|0.704706|0.539942|nan|nan|powerLaw|1.021891|round|nan|nan|nan|nan|nan|nan|9.183695|boltzmann|nan|20.516736,-0.2994944155015099,0.9968983955846752,RWA3D,20,16,RWA3D_run20_solution16,externalArchive|23.0|crowdingDistanceArchive|sobol|20|crossoverAndMutationVariation|PCX|0.905166|bounds|nan|nan|nan|nan|nan|nan|0.789113|0.531081|nan|nan|powerLaw|1.14347|round|nan|nan|nan|nan|nan|nan|9.503152|boltzmann|nan|10.33988,-0.1132206185296008,0.8293437609588902,0.04744163304882983
gower_consensus_weighted,RE3D,21,10,RE3D_run21_solution10,externalArchive|33.0|crowdingDistanceArchive|cauchy|10|crossoverAndMutationVariation|PCX|0.986181|bounds|nan|nan|nan|nan|nan|nan|0.707863|0.470171|nan|nan|powerLaw|1.022912|round|nan|nan|nan|nan|nan|nan|9.183695|boltzmann|nan|28.303216,-0.2990242370016133,0.99701426959422,RWA3D,20,16,RWA3D_run20_solution16,externalArchive|23.0|crowdingDistanceArchive|sobol|20|crossoverAndMutationVariation|PCX|0.905166|bounds|nan|nan|nan|nan|nan|nan|0.789113|0.531081|nan|nan|powerLaw|1.14347|round|nan|nan|nan|nan|nan|nan|9.503152|boltzmann|nan|10.33988,-0.1132206185296008,0.8293437609588902,0.04934308541038279
gower_consensus_weighted,RE3D,24,20,RE3D_run24_solution20,externalArchive|13.0|crowdingDistanceArchive|cauchy|10|crossoverAndMutationVariation|PCX|0.995411|bounds|nan|nan|nan|nan|nan|nan|0.539815|0.854636|nan|nan|powerLaw|0.901718|bounds|nan|nan|nan|nan|nan|nan|8.564255|boltzmann|nan|51.411918,-0.2990520655808776,0.9969622486731256,RWA3D,20,6,RWA3D_run20_solution6,externalArchive|23.0|crowdingDistanceArchive|cauchy|1|crossoverAndMutationVariation|PCX|0.933225|bounds|nan|nan|nan|nan|nan|nan|0.862322|0.94886|nan|nan|powerLaw|1.13461|bounds|nan|nan|nan|nan|nan|nan|9.453589|boltzmann|nan|27.538622,-0.1130214539749992,0.8297375279760715,0.05230280153528047
gower_consensus_weighted,RE3D,10,10,RE3D_run10_solution10,externalArchive|11.0|crowdingDistanceArchive|cauchy|10|crossoverAndMutationVariation|BLX-alpha-beta|0.889196|bounds|nan|nan|0.541954|0.35761|nan|nan|nan|nan|nan|nan|levyFlight|1.25278|bounds|nan|nan|nan|nan|1.138787|0.973162|nan|random|nan|nan,-0.2993947565794466,0.9966858655138764,RWA3D,28,17,RWA3D_run28_solution17,externalArchive|27.0|crowdingDistanceArchive|cauchy|10|crossoverAndMutationVariation|BLX-alpha-beta|0.904587|bounds|nan|nan|0.704377|0.66307|nan|nan|nan|nan|nan|nan|levyFlight|1.170755|bounds|nan|nan|nan|nan|1.241607|0.947094|nan|stochasticUniversalSampling|nan|nan,-0.1110364428762147,0.8297097562836145,0.05234048967046263
