Evaluation,SolutionId,EP,HVMinus
100,0,0.017968657704360246,-0.8501943023110173
200,0,0.01691544521027982,-0.850857853522504
300,0,0.01691544521027982,-0.850857853522504
300,1,0.01926782785278185,-0.8510881026489908
300,2,0.018867346368585218,-0.8510797315208742
400,0,0.016483678146353466,-0.8509860783759883
400,1,0.01880686437758723,-0.8511602576941915
500,0,0.01626325963538398,-0.8511953180170903
500,1,0.016209777186869914,-0.851141737269262
500,2,0.016353361862640144,-0.8512122149316121
500,3,0.015995306301515147,-0.8508797663824723
600,0,0.015610411674837626,-0.8514263671383496
600,1,0.015537209715847159,-0.8511118634469191
700,0,0.015610411674837626,-0.8514263671383496
700,1,0.015537209715847159,-0.8511118634469191
700,2,0.015905332787710537,-0.8514560402977226
800,0,0.015610411674837626,-0.8514263671383496
800,1,0.015537209715847159,-0.8511118634469191
800,2,0.015905332787710537,-0.8514560402977226
800,3,0.016603552942636254,-0.8514604265516122
900,0,0.015610411674837626,-0.8514263671383496
900,1,0.015537209715847159,-0.8511118634469191
900,2,0.015905332787710537,-0.8514560402977226
900,3,0.016314544805960264,-0.8514808067900107
1000,0,0.015610411674837626,-0.8514263671383496
1000,1,0.015905332787710537,-0.8514560402977226
1000,2,0.016314544805960264,-0.8514808067900107
1000,3,0.016170999877974757,-0.8514665243970347
1000,4,0.01526643260937752,-0.8512972447122447
1000,5,0.016840290940183824,-0.8515251538847618
1000,6,0.015553973180280543,-0.8513862296466916
1100,0,0.015610411674837626,-0.8514263671383496
1100,1,0.015905332787710537,-0.8514560402977226
1100,2,0.016314544805960264,-0.8514808067900107
1100,3,0.016170999877974757,-0.8514665243970347
1100,4,0.01526643260937752,-0.8512972447122447
1100,5,0.016840290940183824,-0.8515251538847618
1100,6,0.015553973180280543,-0.8513862296466916
1100,7,0.016524044208898834,-0.8515152880220719
1200,0,0.015610411674837626,-0.8514263671383496
1200,1,0.015905332787710537,-0.8514560402977226
1200,2,0.016314544805960264,-0.8514808067900107
1200,3,0.016170999877974757,-0.8514665243970347
1200,4,0.01526643260937752,-0.8512972447122447
1200,5,0.016840290940183824,-0.8515251538847618
1200,6,0.015553973180280543,-0.8513862296466916
1200,7,0.016524044208898834,-0.8515152880220719
1300,0,0.015610411674837626,-0.8514263671383496
1300,1,0.015905332787710537,-0.8514560402977226
1300,2,0.016314544805960264,-0.8514808067900107
1300,3,0.016170999877974757,-0.8514665243970347
1300,4,0.01526643260937752,-0.8512972447122447
1300,5,0.016840290940183824,-0.8515251538847618
1300,6,0.015553973180280543,-0.8513862296466916
1300,7,0.016524044208898834,-0.8515152880220719
1400,0,0.015610411674837626,-0.8514263671383496
1400,1,0.015905332787710537,-0.8514560402977226
1400,2,0.016314544805960264,-0.8514808067900107
1400,3,0.016170999877974757,-0.8514665243970347
1400,4,0.01526643260937752,-0.8512972447122447
1400,5,0.016840290940183824,-0.8515251538847618
1400,6,0.015553973180280543,-0.8513862296466916
1400,7,0.016524044208898834,-0.8515152880220719
1500,0,0.015610411674837626,-0.8514263671383496
1500,1,0.015905332787710537,-0.8514560402977226
1500,2,0.016314544805960264,-0.8514808067900107
1500,3,0.016170999877974757,-0.8514665243970347
1500,4,0.01526643260937752,-0.8512972447122447
1500,5,0.016840290940183824,-0.8515251538847618
1500,6,0.015553973180280543,-0.8513862296466916
1500,7,0.016524044208898834,-0.8515152880220719
1500,8,0.015653570293131063,-0.8514289946224957
1500,9,0.015900369883608958,-0.8514326467423776
1600,0,0.015610411674837626,-0.8514263671383496
1600,1,0.015905332787710537,-0.8514560402977226
