family,front_type,budget,run,checkpoint_eval,checkpoint_fraction,incumbent_found_at,distance_to_final_elite_medoid
RE3D,extremePointsFronts,1000,25,2300,0.7666666666666667,2200,0.3664099100662982
RE3D,extremePointsFronts,1000,25,3000,1.0,2800,0.33155841802093095
RE3D,extremePointsFronts,1000,26,300,0.1,300,0.3790163149392229
RE3D,extremePointsFronts,1000,26,800,0.26666666666666666,700,0.37511879517877844
RE3D,extremePointsFronts,1000,26,1500,0.5,1300,0.39582573410389743
RE3D,extremePointsFronts,1000,26,2300,0.7666666666666667,2000,0.360084215092787
RE3D,extremePointsFronts,1000,26,3000,1.0,2600,0.3951609492650061
RE3D,extremePointsFronts,1000,27,300,0.1,300,0.3165150414912196
RE3D,extremePointsFronts,1000,27,800,0.26666666666666666,700,0.29530887955470464
RE3D,extremePointsFronts,1000,27,1500,0.5,1100,0.20896326575289473
RE3D,extremePointsFronts,1000,27,2300,0.7666666666666667,1900,0.13131040321885945
RE3D,extremePointsFronts,1000,27,3000,1.0,3000,0.11684703548646028
RE3D,extremePointsFronts,1000,28,300,0.1,300,0.34506207439685327
RE3D,extremePointsFronts,1000,28,800,0.26666666666666666,700,0.3764858264746566
RE3D,extremePointsFronts,1000,28,1500,0.5,1100,0.3776807375247381
RE3D,extremePointsFronts,1000,28,2300,0.7666666666666667,2100,0.3630277222367469
RE3D,extremePointsFronts,1000,28,3000,1.0,2500,0.3938705209410883
RE3D,extremePointsFronts,1000,29,300,0.1,200,0.3175705725837045
RE3D,extremePointsFronts,1000,29,800,0.26666666666666666,800,0.40124057872184316
RE3D,extremePointsFronts,1000,29,1500,0.5,1200,0.38828322511582003
RE3D,extremePointsFronts,1000,29,2300,0.7666666666666667,2300,0.322995044812329
RE3D,extremePointsFronts,1000,29,3000,1.0,2900,0.2994058673249757
RE3D,extremePointsFronts,1000,30,300,0.1,300,0.29258622079942376
RE3D,extremePointsFronts,1000,30,800,0.26666666666666666,800,0.31159935923939314
RE3D,extremePointsFronts,1000,30,1500,0.5,1300,0.18985425746535614
RE3D,extremePointsFronts,1000,30,2300,0.7666666666666667,2300,0.2940893093682435
RE3D,extremePointsFronts,1000,30,3000,1.0,2900,0.2947558014068195
RWA3D,extremePointsFronts,1000,1,300,0.1,300,0.2157044973620751
RWA3D,extremePointsFronts,1000,1,800,0.26666666666666666,700,0.23967149616863753
RWA3D,extremePointsFronts,1000,1,1500,0.5,1400,0.2102317897236548
RWA3D,extremePointsFronts,1000,1,2300,0.7666666666666667,1400,0.2102317897236548
RWA3D,extremePointsFronts,1000,1,3000,1.0,2600,0.17596982143951193
RWA3D,extremePointsFronts,1000,2,300,0.1,300,0.3939434828789364
RWA3D,extremePointsFronts,1000,2,800,0.26666666666666666,600,0.29569896855220684
RWA3D,extremePointsFronts,1000,2,1500,0.5,1400,0.08984673342704652
RWA3D,extremePointsFronts,1000,2,2300,0.7666666666666667,1400,0.08984673342704652
RWA3D,extremePointsFronts,1000,2,3000,1.0,1400,0.08984673342704652
RWA3D,extremePointsFronts,1000,3,300,0.1,300,0.45370520259234454
RWA3D,extremePointsFronts,1000,3,800,0.26666666666666666,800,0.35991583593665916
RWA3D,extremePointsFronts,1000,3,1500,0.5,1300,0.39299910066385546
RWA3D,extremePointsFronts,1000,3,2300,0.7666666666666667,1300,0.39299910066385546
RWA3D,extremePointsFronts,1000,3,3000,1.0,2400,0.32812941590972167
RWA3D,extremePointsFronts,1000,4,300,0.1,300,0.2909344422106219
RWA3D,extremePointsFronts,1000,4,800,0.26666666666666666,700,0.38238794698161827
RWA3D,extremePointsFronts,1000,4,1500,0.5,1000,0.21921439415377067
RWA3D,extremePointsFronts,1000,4,2300,0.7666666666666667,2100,0.20872654025844486
RWA3D,extremePointsFronts,1000,4,3000,1.0,2100,0.20872654025844486
RWA3D,extremePointsFronts,1000,5,300,0.1,200,0.35530697782173865
RWA3D,extremePointsFronts,1000,5,800,0.26666666666666666,700,0.33110433490549723
RWA3D,extremePointsFronts,1000,5,1500,0.5,1500,0.2353621887388548
RWA3D,extremePointsFronts,1000,5,2300,0.7666666666666667,1700,0.23488682526414
RWA3D,extremePointsFronts,1000,5,3000,1.0,1700,0.23488682526414
RWA3D,extremePointsFronts,1000,6,300,0.1,300,0.26034028313887436
RWA3D,extremePointsFronts,1000,6,800,0.26666666666666666,700,0.16269836847255578
RWA3D,extremePointsFronts,1000,6,1500,0.5,1000,0.14886177412175244
RWA3D,extremePointsFronts,1000,6,2300,0.7666666666666667,2300,0.13833864353985736
RWA3D,extremePointsFronts,1000,6,3000,1.0,2800,0.14236480046191194
RWA3D,extremePointsFronts,1000,7,300,0.1,200,0.2296125862243168
RWA3D,extremePointsFronts,1000,7,800,0.26666666666666666,500,0.384806992754733
RWA3D,extremePointsFronts,1000,7,1500,0.5,1100,0.26779931238547966
RWA3D,extremePointsFronts,1000,7,2300,0.7666666666666667,1700,0.2967252286369106
RWA3D,extremePointsFronts,1000,7,3000,1.0,2800,0.18933063439725267
RWA3D,extremePointsFronts,1000,8,300,0.1,200,0.27506704457550935
RWA3D,extremePointsFronts,1000,8,800,0.26666666666666666,700,0.11392226129586615
RWA3D,extremePointsFronts,1000,8,1500,0.5,1500,0.25935413281844655
RWA3D,extremePointsFronts,1000,8,2300,0.7666666666666667,2000,0.23406679889624357
RWA3D,extremePointsFronts,1000,8,3000,1.0,2000,0.23406679889624357
RWA3D,extremePointsFronts,1000,9,300,0.1,300,0.3129394690926264
RWA3D,extremePointsFronts,1000,9,800,0.26666666666666666,800,0.12826038524094963
RWA3D,extremePointsFronts,1000,9,1500,0.5,1300,0.13225606181111227
RWA3D,extremePointsFronts,1000,9,2300,0.7666666666666667,2100,0.112216675554763
RWA3D,extremePointsFronts,1000,9,3000,1.0,3000,0.100652772730644
