family,front_type,budget,run,parameter,parameter_kind,stabilization_eval,stabilization_pct_meta_budget
RE3D,extremePointsFronts,3000,14,blxAlphaBetaCrossoverAlpha,numerical,1500,50.0
RE3D,extremePointsFronts,3000,15,blxAlphaBetaCrossoverAlpha,numerical,800,26.7
RE3D,extremePointsFronts,3000,16,blxAlphaBetaCrossoverAlpha,numerical,3000,100.0
RE3D,extremePointsFronts,3000,17,blxAlphaBetaCrossoverAlpha,numerical,3000,100.0
RE3D,extremePointsFronts,3000,18,blxAlphaBetaCrossoverAlpha,numerical,800,26.7
RE3D,extremePointsFronts,3000,19,blxAlphaBetaCrossoverAlpha,numerical,1500,50.0
RE3D,extremePointsFronts,3000,20,blxAlphaBetaCrossoverAlpha,numerical,2300,76.7
RE3D,extremePointsFronts,3000,21,blxAlphaBetaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,22,blxAlphaBetaCrossoverAlpha,numerical,1500,50.0
RE3D,extremePointsFronts,3000,23,blxAlphaBetaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,24,blxAlphaBetaCrossoverAlpha,numerical,3000,100.0
RE3D,extremePointsFronts,3000,25,blxAlphaBetaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,26,blxAlphaBetaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,27,blxAlphaBetaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,28,blxAlphaBetaCrossoverAlpha,numerical,2300,76.7
RE3D,extremePointsFronts,3000,29,blxAlphaBetaCrossoverAlpha,numerical,1500,50.0
RE3D,extremePointsFronts,3000,30,blxAlphaBetaCrossoverAlpha,numerical,2300,76.7
RE3D,extremePointsFronts,3000,1,blxAlphaBetaCrossoverBeta,numerical,300,10.0
RE3D,extremePointsFronts,3000,2,blxAlphaBetaCrossoverBeta,numerical,1500,50.0
RE3D,extremePointsFronts,3000,3,blxAlphaBetaCrossoverBeta,numerical,300,10.0
RE3D,extremePointsFronts,3000,4,blxAlphaBetaCrossoverBeta,numerical,2300,76.7
RE3D,extremePointsFronts,3000,5,blxAlphaBetaCrossoverBeta,numerical,300,10.0
RE3D,extremePointsFronts,3000,6,blxAlphaBetaCrossoverBeta,numerical,3000,100.0
RE3D,extremePointsFronts,3000,7,blxAlphaBetaCrossoverBeta,numerical,300,10.0
RE3D,extremePointsFronts,3000,8,blxAlphaBetaCrossoverBeta,numerical,2300,76.7
RE3D,extremePointsFronts,3000,9,blxAlphaBetaCrossoverBeta,numerical,1500,50.0
RE3D,extremePointsFronts,3000,10,blxAlphaBetaCrossoverBeta,numerical,300,10.0
RE3D,extremePointsFronts,3000,11,blxAlphaBetaCrossoverBeta,numerical,300,10.0
RE3D,extremePointsFronts,3000,12,blxAlphaBetaCrossoverBeta,numerical,1500,50.0
RE3D,extremePointsFronts,3000,13,blxAlphaBetaCrossoverBeta,numerical,3000,100.0
RE3D,extremePointsFronts,3000,14,blxAlphaBetaCrossoverBeta,numerical,1500,50.0
RE3D,extremePointsFronts,3000,15,blxAlphaBetaCrossoverBeta,numerical,800,26.7
RE3D,extremePointsFronts,3000,16,blxAlphaBetaCrossoverBeta,numerical,3000,100.0
RE3D,extremePointsFronts,3000,17,blxAlphaBetaCrossoverBeta,numerical,3000,100.0
RE3D,extremePointsFronts,3000,18,blxAlphaBetaCrossoverBeta,numerical,800,26.7
RE3D,extremePointsFronts,3000,19,blxAlphaBetaCrossoverBeta,numerical,1500,50.0
RE3D,extremePointsFronts,3000,20,blxAlphaBetaCrossoverBeta,numerical,2300,76.7
RE3D,extremePointsFronts,3000,21,blxAlphaBetaCrossoverBeta,numerical,300,10.0
RE3D,extremePointsFronts,3000,22,blxAlphaBetaCrossoverBeta,numerical,1500,50.0
RE3D,extremePointsFronts,3000,23,blxAlphaBetaCrossoverBeta,numerical,300,10.0
RE3D,extremePointsFronts,3000,24,blxAlphaBetaCrossoverBeta,numerical,3000,100.0
RE3D,extremePointsFronts,3000,25,blxAlphaBetaCrossoverBeta,numerical,300,10.0
RE3D,extremePointsFronts,3000,26,blxAlphaBetaCrossoverBeta,numerical,300,10.0
RE3D,extremePointsFronts,3000,27,blxAlphaBetaCrossoverBeta,numerical,300,10.0
RE3D,extremePointsFronts,3000,28,blxAlphaBetaCrossoverBeta,numerical,2300,76.7
RE3D,extremePointsFronts,3000,29,blxAlphaBetaCrossoverBeta,numerical,1500,50.0
RE3D,extremePointsFronts,3000,30,blxAlphaBetaCrossoverBeta,numerical,2300,76.7
RE3D,extremePointsFronts,3000,1,blxAlphaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,2,blxAlphaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,3,blxAlphaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,4,blxAlphaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,5,blxAlphaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,6,blxAlphaCrossoverAlpha,numerical,3000,100.0
RE3D,extremePointsFronts,3000,7,blxAlphaCrossoverAlpha,numerical,2300,76.7
RE3D,extremePointsFronts,3000,8,blxAlphaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,9,blxAlphaCrossoverAlpha,numerical,3000,100.0
RE3D,extremePointsFronts,3000,10,blxAlphaCrossoverAlpha,numerical,1500,50.0
RE3D,extremePointsFronts,3000,11,blxAlphaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,12,blxAlphaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,13,blxAlphaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,14,blxAlphaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,15,blxAlphaCrossoverAlpha,numerical,3000,100.0
RE3D,extremePointsFronts,3000,16,blxAlphaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,17,blxAlphaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,18,blxAlphaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,19,blxAlphaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,20,blxAlphaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,21,blxAlphaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,22,blxAlphaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,23,blxAlphaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,24,blxAlphaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,25,blxAlphaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,26,blxAlphaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,27,blxAlphaCrossoverAlpha,numerical,800,26.7
RE3D,extremePointsFronts,3000,28,blxAlphaCrossoverAlpha,numerical,800,26.7
RE3D,extremePointsFronts,3000,29,blxAlphaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,30,blxAlphaCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,1,boltzmannTemperature,numerical,2300,76.7
RE3D,extremePointsFronts,3000,2,boltzmannTemperature,numerical,300,10.0
RE3D,extremePointsFronts,3000,3,boltzmannTemperature,numerical,300,10.0
RE3D,extremePointsFronts,3000,4,boltzmannTemperature,numerical,1500,50.0
RE3D,extremePointsFronts,3000,5,boltzmannTemperature,numerical,3000,100.0
RE3D,extremePointsFronts,3000,6,boltzmannTemperature,numerical,300,10.0
RE3D,extremePointsFronts,3000,7,boltzmannTemperature,numerical,300,10.0
RE3D,extremePointsFronts,3000,8,boltzmannTemperature,numerical,300,10.0
RE3D,extremePointsFronts,3000,9,boltzmannTemperature,numerical,800,26.7
RE3D,extremePointsFronts,3000,10,boltzmannTemperature,numerical,3000,100.0
RE3D,extremePointsFronts,3000,11,boltzmannTemperature,numerical,300,10.0
RE3D,extremePointsFronts,3000,12,boltzmannTemperature,numerical,300,10.0
RE3D,extremePointsFronts,3000,13,boltzmannTemperature,numerical,3000,100.0
RE3D,extremePointsFronts,3000,14,boltzmannTemperature,numerical,300,10.0
RE3D,extremePointsFronts,3000,15,boltzmannTemperature,numerical,300,10.0
RE3D,extremePointsFronts,3000,16,boltzmannTemperature,numerical,3000,100.0
RE3D,extremePointsFronts,3000,17,boltzmannTemperature,numerical,3000,100.0
RE3D,extremePointsFronts,3000,18,boltzmannTemperature,numerical,2300,76.7
RE3D,extremePointsFronts,3000,19,boltzmannTemperature,numerical,1500,50.0
RE3D,extremePointsFronts,3000,20,boltzmannTemperature,numerical,3000,100.0
RE3D,extremePointsFronts,3000,21,boltzmannTemperature,numerical,800,26.7
RE3D,extremePointsFronts,3000,22,boltzmannTemperature,numerical,800,26.7
RE3D,extremePointsFronts,3000,23,boltzmannTemperature,numerical,300,10.0
RE3D,extremePointsFronts,3000,24,boltzmannTemperature,numerical,300,10.0
RE3D,extremePointsFronts,3000,25,boltzmannTemperature,numerical,300,10.0
RE3D,extremePointsFronts,3000,26,boltzmannTemperature,numerical,800,26.7
