config_signature,rows,runs,ep_median,hv_median,rank,row_share_pct,run_share_pct,scope,front_type,budget,is_best_EP,is_best_HV,algorithmResult,populationSizeWithArchive,archiveType,createInitialSolutions,offspringPopulationSize,variation,crossover,crossoverProbability,crossoverRepairStrategy,sbxDistributionIndex,blxAlphaCrossoverAlpha,blxAlphaBetaCrossoverBeta,blxAlphaBetaCrossoverAlpha,laplaceCrossoverScale,fuzzyRecombinationCrossoverAlpha,pcxCrossoverZeta,pcxCrossoverEta,undcCrossoverZeta,undcCrossoverEta,mutation,mutationProbabilityFactor,mutationRepairStrategy,uniformMutationPerturbation,polynomialMutationDistributionIndex,linkedPolynomialMutationDistributionIndex,nonUniformMutationPerturbation,levyFlightMutationBeta,levyFlightMutationStepSize,powerLawMutationDelta,selection,selectionTournamentSize,boltzmannTemperature
externalArchive|32.0|unboundedArchive|scatterSearch|1|crossoverAndMutationVariation|BLX-alpha-beta|0.755361|round|nan|nan|0.752257|0.932501|nan|nan|nan|nan|nan|nan|levyFlight|0.391368|bounds|nan|nan|nan|nan|1.05539|0.904753|nan|stochasticUniversalSampling|nan|nan,1,1,0.1504245644207754,-0.8489714682642601,11,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,32.0,unboundedArchive,scatterSearch,1,crossoverAndMutationVariation,BLX-alpha-beta,0.7553605807834292,round,,,0.7522573095776203,0.932501179032584,,,,,,,levyFlight,0.3913684976310523,bounds,,,,,1.0553903902582045,0.9047531346745694,,stochasticUniversalSampling,,
externalArchive|22.0|unboundedArchive|latinHypercubeSampling|10|crossoverAndMutationVariation|BLX-alpha-beta|0.998291|bounds|nan|nan|0.754746|0.973043|nan|nan|nan|nan|nan|nan|levyFlight|0.723907|bounds|nan|nan|nan|nan|1.501755|0.838586|nan|random|nan|nan,1,1,0.1504374874238343,-0.8488519951161794,12,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,22.0,unboundedArchive,latinHypercubeSampling,10,crossoverAndMutationVariation,BLX-alpha-beta,0.998290634770189,bounds,,,0.7547457559083115,0.9730433670140104,,,,,,,levyFlight,0.7239070661809783,bounds,,,,,1.501754983033733,0.83858618357549,,random,,
externalArchive|19.0|unboundedArchive|scatterSearch|5|crossoverAndMutationVariation|BLX-alpha|0.923561|bounds|nan|0.975846|nan|nan|nan|nan|nan|nan|nan|nan|powerLaw|0.164954|bounds|nan|nan|nan|nan|nan|nan|8.105286|boltzmann|nan|64.697068,1,1,0.150440771282683,-0.8493779764882349,13,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,19.0,unboundedArchive,scatterSearch,5,crossoverAndMutationVariation,BLX-alpha,0.92356056760695,bounds,,0.975846279686291,,,,,,,,,powerLaw,0.1649539440856887,bounds,,,,,,,8.105285633116418,boltzmann,,64.69706837815042
externalArchive|17.0|unboundedArchive|latinHypercubeSampling|10|crossoverAndMutationVariation|BLX-alpha-beta|0.785967|random|nan|nan|0.776178|0.932617|nan|nan|nan|nan|nan|nan|levyFlight|0.793764|bounds|nan|nan|nan|nan|1.352493|0.46564|nan|boltzmann|nan|14.458303,1,1,0.1504445535472476,-0.8487745011662753,14,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,17.0,unboundedArchive,latinHypercubeSampling,10,crossoverAndMutationVariation,BLX-alpha-beta,0.7859667155296745,random,,,0.7761778586177779,0.932616851971246,,,,,,,levyFlight,0.7937637052772462,bounds,,,,,1.3524931562014664,0.4656395785687801,,boltzmann,,14.458303476981474
externalArchive|24.0|unboundedArchive|scatterSearch|5|crossoverAndMutationVariation|BLX-alpha-beta|0.875521|bounds|nan|nan|0.975137|0.94171|nan|nan|nan|nan|nan|nan|powerLaw|0.240642|round|nan|nan|nan|nan|nan|nan|5.636344|boltzmann|nan|48.746051,1,1,0.1504457523271929,-0.8493006901719167,15,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,24.0,unboundedArchive,scatterSearch,5,crossoverAndMutationVariation,BLX-alpha-beta,0.8755206514839238,bounds,,,0.9751366526750868,0.941709692456031,,,,,,,powerLaw,0.2406416223846756,round,,,,,,,5.636344323351839,boltzmann,,48.74605109272168
externalArchive|19.0|unboundedArchive|scatterSearch|1|crossoverAndMutationVariation|BLX-alpha-beta|0.984391|bounds|nan|nan|0.865193|0.851722|nan|nan|nan|nan|nan|nan|levyFlight|0.477715|bounds|nan|nan|nan|nan|1.667955|0.834234|nan|boltzmann|nan|43.833844,1,1,0.1504499609186666,-0.8493793888269666,16,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,19.0,unboundedArchive,scatterSearch,1,crossoverAndMutationVariation,BLX-alpha-beta,0.9843911432938798,bounds,,,0.8651928136447394,0.8517224519331195,,,,,,,levyFlight,0.4777153231276752,bounds,,,,,1.6679550668856424,0.834233904041472,,boltzmann,,43.83384394251291
externalArchive|18.0|unboundedArchive|scatterSearch|10|crossoverAndMutationVariation|BLX-alpha|0.995317|bounds|nan|0.98297|nan|nan|nan|nan|nan|nan|nan|nan|powerLaw|0.093067|bounds|nan|nan|nan|nan|nan|nan|6.113604|boltzmann|nan|44.418049,1,1,0.1504515288992055,-0.849602811678713,17,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,18.0,unboundedArchive,scatterSearch,10,crossoverAndMutationVariation,BLX-alpha,0.9953168694236504,bounds,,0.9829703373810814,,,,,,,,,powerLaw,0.0930669062015568,bounds,,,,,,,6.113603646547604,boltzmann,,44.418049449105496
externalArchive|67.0|unboundedArchive|oppositionBased|1|crossoverAndMutationVariation|BLX-alpha-beta|0.786412|bounds|nan|nan|0.476021|0.846386|nan|nan|nan|nan|nan|nan|levyFlight|0.591741|bounds|nan|nan|nan|nan|1.05144|0.163743|nan|stochasticUniversalSampling|nan|nan,1,1,0.1504601762757949,-0.8473018164863891,18,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,67.0,unboundedArchive,oppositionBased,1,crossoverAndMutationVariation,BLX-alpha-beta,0.7864121668478344,bounds,,,0.4760209566882045,0.846385629722069,,,,,,,levyFlight,0.5917411422430334,bounds,,,,,1.0514401231224366,0.1637426694121512,,stochasticUniversalSampling,,
externalArchive|24.0|unboundedArchive|cauchy|5|crossoverAndMutationVariation|BLX-alpha-beta|0.912178|bounds|nan|nan|0.989301|0.939209|nan|nan|nan|nan|nan|nan|powerLaw|0.240057|round|nan|nan|nan|nan|nan|nan|5.662629|boltzmann|nan|49.141666,1,1,0.1504603003058267,-0.8493708802056904,19,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,24.0,unboundedArchive,cauchy,5,crossoverAndMutationVariation,BLX-alpha-beta,0.91217834014143,bounds,,,0.9893007178745092,0.9392094567114164,,,,,,,powerLaw,0.2400568267883593,round,,,,,,,5.662629080092668,boltzmann,,49.14166568143455
externalArchive|15.0|unboundedArchive|scatterSearch|5|crossoverAndMutationVariation|BLX-alpha-beta|0.844671|bounds|nan|nan|0.648362|0.924918|nan|nan|nan|nan|nan|nan|levyFlight|0.717625|bounds|nan|nan|nan|nan|1.826338|0.737855|nan|random|nan|nan,1,1,0.150462860503751,-0.8489950739666634,20,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,15.0,unboundedArchive,scatterSearch,5,crossoverAndMutationVariation,BLX-alpha-beta,0.8446712788897645,bounds,,,0.6483622887072521,0.9249182787170664,,,,,,,levyFlight,0.7176254830781313,bounds,,,,,1.8263379825105013,0.7378545842221947,,random,,
