config_signature,rows,runs,ep_median,hv_median,rank,row_share_pct,run_share_pct,scope,front_type,budget,is_best_EP,is_best_HV,algorithmResult,populationSizeWithArchive,archiveType,createInitialSolutions,offspringPopulationSize,variation,crossover,crossoverProbability,crossoverRepairStrategy,sbxDistributionIndex,blxAlphaCrossoverAlpha,blxAlphaBetaCrossoverBeta,blxAlphaBetaCrossoverAlpha,laplaceCrossoverScale,fuzzyRecombinationCrossoverAlpha,pcxCrossoverZeta,pcxCrossoverEta,undcCrossoverZeta,undcCrossoverEta,mutation,mutationProbabilityFactor,mutationRepairStrategy,uniformMutationPerturbation,polynomialMutationDistributionIndex,linkedPolynomialMutationDistributionIndex,nonUniformMutationPerturbation,levyFlightMutationBeta,levyFlightMutationStepSize,powerLawMutationDelta,selection,selectionTournamentSize,boltzmannTemperature
externalArchive|21.0|unboundedArchive|default|50|crossoverAndMutationVariation|BLX-alpha-beta|0.979195|bounds|nan|nan|0.754674|0.918396|nan|nan|nan|nan|nan|nan|levyFlight|0.996812|bounds|nan|nan|nan|nan|1.249295|0.478115|nan|ranking|nan|nan,1,1,0.1782153181916017,-0.5846064197127273,11,0.4219409282700422,3.3333333333333335,RWA3D,referenceFronts,1000,False,False,externalArchive,21.0,unboundedArchive,default,50,crossoverAndMutationVariation,BLX-alpha-beta,0.979195465300126,bounds,,,0.7546741375070467,0.9183962931713636,,,,,,,levyFlight,0.9968117933415452,bounds,,,,,1.2492954779967709,0.4781154487687822,,ranking,,
externalArchive|27.0|unboundedArchive|latinHypercubeSampling|50|crossoverAndMutationVariation|BLX-alpha-beta|0.977035|bounds|nan|nan|0.672719|0.955346|nan|nan|nan|nan|nan|nan|levyFlight|1.947748|bounds|nan|nan|nan|nan|1.138509|0.615618|nan|ranking|nan|nan,1,1,0.1782269106139336,-0.5847475747223133,12,0.4219409282700422,3.3333333333333335,RWA3D,referenceFronts,1000,False,False,externalArchive,27.0,unboundedArchive,latinHypercubeSampling,50,crossoverAndMutationVariation,BLX-alpha-beta,0.9770349352344002,bounds,,,0.6727190959244921,0.9553461614823586,,,,,,,levyFlight,1.9477477174391675,bounds,,,,,1.1385086157233186,0.6156180593322856,,ranking,,
externalArchive|25.0|unboundedArchive|default|20|crossoverAndMutationVariation|BLX-alpha-beta|0.897157|bounds|nan|nan|0.642694|0.919167|nan|nan|nan|nan|nan|nan|levyFlight|1.906712|bounds|nan|nan|nan|nan|1.510265|0.938447|nan|boltzmann|nan|93.657007,1,1,0.1782464190080043,-0.5848119590465722,13,0.4219409282700422,3.3333333333333335,RWA3D,referenceFronts,1000,False,False,externalArchive,25.0,unboundedArchive,default,20,crossoverAndMutationVariation,BLX-alpha-beta,0.8971571061989088,bounds,,,0.6426942346348912,0.9191671930232426,,,,,,,levyFlight,1.906711781518147,bounds,,,,,1.5102648087038433,0.9384472000179608,,boltzmann,,93.65700673497196
externalArchive|28.0|unboundedArchive|cauchy|10|crossoverAndMutationVariation|BLX-alpha-beta|0.937991|random|nan|nan|0.493579|0.937582|nan|nan|nan|nan|nan|nan|powerLaw|1.316734|bounds|nan|nan|nan|nan|nan|nan|6.88188|stochasticUniversalSampling|nan|nan,1,1,0.1782484552424162,-0.5850342375887344,14,0.4219409282700422,3.3333333333333335,RWA3D,referenceFronts,1000,False,False,externalArchive,28.0,unboundedArchive,cauchy,10,crossoverAndMutationVariation,BLX-alpha-beta,0.9379910836598104,random,,,0.4935793707134611,0.9375817289051804,,,,,,,powerLaw,1.3167344865110808,bounds,,,,,,,6.88188024419767,stochasticUniversalSampling,,
externalArchive|29.0|unboundedArchive|cauchy|5|crossoverAndMutationVariation|BLX-alpha-beta|0.787381|round|nan|nan|0.064037|0.716019|nan|nan|nan|nan|nan|nan|powerLaw|1.631904|bounds|nan|nan|nan|nan|nan|nan|5.817002|boltzmann|nan|34.611114,1,1,0.1782815063192144,-0.5846436991645336,15,0.4219409282700422,3.3333333333333335,RWA3D,referenceFronts,1000,False,False,externalArchive,29.0,unboundedArchive,cauchy,5,crossoverAndMutationVariation,BLX-alpha-beta,0.7873809908085412,round,,,0.0640366557967861,0.7160189066670847,,,,,,,powerLaw,1.6319040977539985,bounds,,,,,,,5.817002329675817,boltzmann,,34.61111437060552
externalArchive|36.0|unboundedArchive|cauchy|10|crossoverAndMutationVariation|BLX-alpha-beta|0.957459|bounds|nan|nan|0.627167|0.994939|nan|nan|nan|nan|nan|nan|levyFlight|1.926366|bounds|nan|nan|nan|nan|1.485871|0.96945|nan|stochasticUniversalSampling|nan|nan,1,1,0.1782955498790489,-0.5848771875439003,16,0.4219409282700422,3.3333333333333335,RWA3D,referenceFronts,1000,False,False,externalArchive,36.0,unboundedArchive,cauchy,10,crossoverAndMutationVariation,BLX-alpha-beta,0.9574586017697296,bounds,,,0.6271669935819315,0.9949391880866248,,,,,,,levyFlight,1.9263660968563177,bounds,,,,,1.485871170841524,0.96945037725871,,stochasticUniversalSampling,,
externalArchive|47.0|unboundedArchive|latinHypercubeSampling|5|crossoverAndMutationVariation|BLX-alpha-beta|0.857271|round|nan|nan|0.812001|0.942208|nan|nan|nan|nan|nan|nan|levyFlight|1.644445|bounds|nan|nan|nan|nan|1.59145|0.928273|nan|stochasticUniversalSampling|nan|nan,1,1,0.1783480406703094,-0.5847629082233391,17,0.4219409282700422,3.3333333333333335,RWA3D,referenceFronts,1000,False,False,externalArchive,47.0,unboundedArchive,latinHypercubeSampling,5,crossoverAndMutationVariation,BLX-alpha-beta,0.8572714562845543,round,,,0.812001314927148,0.942207582514756,,,,,,,levyFlight,1.6444453152277974,bounds,,,,,1.5914502592883029,0.9282729267327964,,stochasticUniversalSampling,,
externalArchive|45.0|unboundedArchive|latinHypercubeSampling|5|crossoverAndMutationVariation|BLX-alpha-beta|0.805804|random|nan|nan|0.234956|0.952539|nan|nan|nan|nan|nan|nan|powerLaw|1.793914|bounds|nan|nan|nan|nan|nan|nan|5.836396|stochasticUniversalSampling|nan|nan,1,1,0.1783507351597774,-0.5848803733724954,18,0.4219409282700422,3.3333333333333335,RWA3D,referenceFronts,1000,False,False,externalArchive,45.0,unboundedArchive,latinHypercubeSampling,5,crossoverAndMutationVariation,BLX-alpha-beta,0.8058044846492396,random,,,0.2349555570707399,0.9525393757030934,,,,,,,powerLaw,1.7939136864618677,bounds,,,,,,,5.836396041066786,stochasticUniversalSampling,,
externalArchive|34.0|unboundedArchive|cauchy|5|crossoverAndMutationVariation|BLX-alpha-beta|0.857735|bounds|nan|nan|0.622926|0.978847|nan|nan|nan|nan|nan|nan|levyFlight|1.612007|bounds|nan|nan|nan|nan|1.071817|0.757914|nan|tournament|2.0|nan,1,1,0.1783513534503044,-0.584913962526862,19,0.4219409282700422,3.3333333333333335,RWA3D,referenceFronts,1000,False,False,externalArchive,34.0,unboundedArchive,cauchy,5,crossoverAndMutationVariation,BLX-alpha-beta,0.8577347575452807,bounds,,,0.622925986627314,0.9788471977573644,,,,,,,levyFlight,1.612006838398991,bounds,,,,,1.0718174043318716,0.7579139379627945,,tournament,2.0,
externalArchive|38.0|unboundedArchive|cauchy|20|crossoverAndMutationVariation|BLX-alpha-beta|0.89557|round|nan|nan|0.615654|0.982048|nan|nan|nan|nan|nan|nan|levyFlight|1.422905|bounds|nan|nan|nan|nan|1.249106|0.889219|nan|ranking|nan|nan,1,1,0.1783597748303231,-0.5847957250371413,20,0.4219409282700422,3.3333333333333335,RWA3D,referenceFronts,1000,False,False,externalArchive,38.0,unboundedArchive,cauchy,20,crossoverAndMutationVariation,BLX-alpha-beta,0.8955701579560498,round,,,0.6156543981597657,0.9820478176779034,,,,,,,levyFlight,1.4229054606311773,bounds,,,,,1.249105726360787,0.889219223047144,,ranking,,
