Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
NSGAII-Std,RE23,EP,23,0.007467773847540854
NSGAII-Std,RE23,EP,24,0.004214075324567544
NSGAII-Std,RE23,EP,25,0.004618791588523706
NSGAII-Std,RE23,EP,26,0.00896556414483438
NSGAII-Std,RE23,EP,27,0.006150577065258351
NSGAII-Std,RE23,EP,28,0.004084162219778614
NSGAII-Std,RE23,EP,29,0.003967195719964511
NSGAII-Std,RE24,EP,0,0.01282871157840721
NSGAII-Std,RE24,EP,1,0.007764892276580615
NSGAII-Std,RE24,EP,2,0.01861418487802982
NSGAII-Std,RE24,EP,3,0.009886090589229873
NSGAII-Std,RE24,EP,4,0.007979555275925143
NSGAII-Std,RE24,EP,5,0.012684028058623065
NSGAII-Std,RE24,EP,6,0.013577197262914004
NSGAII-Std,RE24,EP,7,0.010639852170949147
NSGAII-Std,RE24,EP,8,0.009555568165199438
NSGAII-Std,RE24,EP,9,0.00927370754487819
NSGAII-Std,RE24,EP,10,0.01472624476104771
NSGAII-Std,RE24,EP,11,0.013886815553396076
NSGAII-Std,RE24,EP,12,0.01509230171173545
NSGAII-Std,RE24,EP,13,0.015710602849555444
NSGAII-Std,RE24,EP,14,0.009718157251042109
NSGAII-Std,RE24,EP,15,0.00947634763543683
NSGAII-Std,RE24,EP,16,0.013288091656123435
NSGAII-Std,RE24,EP,17,0.013512761182689237
NSGAII-Std,RE24,EP,18,0.009474592795881448
NSGAII-Std,RE24,EP,19,0.012017308044375306
NSGAII-Std,RE24,EP,20,0.013014231161820433
NSGAII-Std,RE24,EP,21,0.010379227667058274
NSGAII-Std,RE24,EP,22,0.010232663365167732
NSGAII-Std,RE24,EP,23,0.012543739858329545
NSGAII-Std,RE24,EP,24,0.011047931727265536
NSGAII-Std,RE24,EP,25,0.00963828191266914
NSGAII-Std,RE24,EP,26,0.010501683579386432
NSGAII-Std,RE24,EP,27,0.012100493997511704
NSGAII-Std,RE24,EP,28,0.01119290731393922
NSGAII-Std,RE24,EP,29,0.011871741486581544
NSGAII-Std,RE25,EP,0,7.991504372612318E-9
NSGAII-Std,RE25,EP,1,7.4385554330625E-9
NSGAII-Std,RE25,EP,2,8.003219531381483E-9
NSGAII-Std,RE25,EP,3,7.918526114670884E-9
NSGAII-Std,RE25,EP,4,7.879291100153345E-9
NSGAII-Std,RE25,EP,5,6.877883099179911E-9
NSGAII-Std,RE25,EP,6,8.72904372624042E-9
NSGAII-Std,RE25,EP,7,8.861293085791942E-9
NSGAII-Std,RE25,EP,8,9.15549486293755E-9
NSGAII-Std,RE25,EP,9,6.79370996975982E-9
NSGAII-Std,RE25,EP,10,6.309512157098683E-9
NSGAII-Std,RE25,EP,11,8.117751815691673E-9
NSGAII-Std,RE25,EP,12,6.47500338395328E-9
NSGAII-Std,RE25,EP,13,7.707736960949112E-9
NSGAII-Std,RE25,EP,14,1.0659104165090265E-8
NSGAII-Std,RE25,EP,15,8.980234804166724E-9
NSGAII-Std,RE25,EP,16,8.081142502315013E-9
NSGAII-Std,RE25,EP,17,7.079244409825157E-9
NSGAII-Std,RE25,EP,18,8.744059498087578E-9
NSGAII-Std,RE25,EP,19,6.260026667040609E-9
NSGAII-Std,RE25,EP,20,7.700889003074827E-9
NSGAII-Std,RE25,EP,21,8.783592413958511E-9
NSGAII-Std,RE25,EP,22,8.550295465637866E-9
NSGAII-Std,RE25,EP,23,7.229192242380575E-9
NSGAII-Std,RE25,EP,24,8.81085872581295E-9
NSGAII-Std,RE25,EP,25,7.133340249118072E-9
NSGAII-Std,RE25,EP,26,1.0871357988246697E-8
NSGAII-Std,RE25,EP,27,8.086661483390069E-9
NSGAII-Std,RE25,EP,28,8.554382156781253E-9
NSGAII-Std,RE25,EP,29,7.452616491060804E-9
NSGAII-Std,RE31,EP,0,2.9598895743843107E-4
NSGAII-Std,RE31,EP,1,2.597109370950445E-4
NSGAII-Std,RE31,EP,2,2.2326480469510017E-4
NSGAII-Std,RE31,EP,3,4.8457227005503276E-4
NSGAII-Std,RE31,EP,4,3.5215818007500936E-4
NSGAII-Std,RE31,EP,5,2.1048399766872638E-4
NSGAII-Std,RE31,EP,6,3.9302177078708294E-4
NSGAII-Std,RE31,EP,7,2.385663670041341E-4
NSGAII-Std,RE31,EP,8,2.5940481874092155E-4
NSGAII-Std,RE31,EP,9,2.2342967537656108E-4
NSGAII-Std,RE31,EP,10,3.100573178747442E-4
NSGAII-Std,RE31,EP,11,3.9008775990705884E-4
NSGAII-Std,RE31,EP,12,2.6235180666023733E-4
NSGAII-Std,RE31,EP,13,3.6448827963645255E-4
NSGAII-Std,RE31,EP,14,4.5638967434556135E-4
NSGAII-Std,RE31,EP,15,2.108385328748239E-4
NSGAII-Std,RE31,EP,16,2.093560262186223E-4
NSGAII-Std,RE31,EP,17,2.2945866521965118E-4
NSGAII-Std,RE31,EP,18,7.24671064762749E-4
NSGAII-Std,RE31,EP,19,4.485178473614583E-4
NSGAII-Std,RE31,EP,20,6.257232565772507E-4
NSGAII-Std,RE31,EP,21,2.9450511538504774E-4
NSGAII-Std,RE31,EP,22,2.122324523063192E-4
NSGAII-Std,RE31,EP,23,2.640979118278046E-4
NSGAII-Std,RE31,EP,24,3.737645718148728E-4
NSGAII-Std,RE31,EP,25,2.084284608314991E-4
NSGAII-Std,RE31,EP,26,2.2919940169482806E-4
NSGAII-Std,RE31,EP,27,5.450792118488287E-4
NSGAII-Std,RE31,EP,28,2.0841334677160106E-4
NSGAII-Std,RE31,EP,29,2.3346678596424745E-4
NSGAII-Std,RE32,EP,0,0.0081987494965731
NSGAII-Std,RE32,EP,1,0.031389398771415174
NSGAII-Std,RE32,EP,2,0.02275868451276171
NSGAII-Std,RE32,EP,3,0.02015761336206655
NSGAII-Std,RE32,EP,4,0.008586117084907573
NSGAII-Std,RE32,EP,5,0.010684031162127289
NSGAII-Std,RE32,EP,6,0.011455582258437668
NSGAII-Std,RE32,EP,7,0.007794266434719119
NSGAII-Std,RE32,EP,8,0.050180277817794335
NSGAII-Std,RE32,EP,9,0.020061594243586216
NSGAII-Std,RE32,EP,10,0.01721520949850038
NSGAII-Std,RE32,EP,11,0.048773521420539305
NSGAII-Std,RE32,EP,12,0.026722192064309855
NSGAII-Std,RE32,EP,13,0.0064881121588840325
NSGAII-Std,RE32,EP,14,0.01733043065200308
NSGAII-Std,RE32,EP,15,0.04301295684553362
NSGAII-Std,RE32,EP,16,0.010521824724245881
NSGAII-Std,RE32,EP,17,0.02011992341093606
NSGAII-Std,RE32,EP,18,0.01630029308969693
NSGAII-Std,RE32,EP,19,0.026115059829240762
NSGAII-Std,RE32,EP,20,0.036496999004509534
NSGAII-Std,RE32,EP,21,0.00836045920374468
NSGAII-Std,RE32,EP,22,0.02515414634383754
NSGAII-Std,RE32,EP,23,0.024103787839062422
NSGAII-Std,RE32,EP,24,0.004154486905925379
NSGAII-Std,RE32,EP,25,0.024924336148900408
NSGAII-Std,RE32,EP,26,0.01017595589473379
NSGAII-Std,RE32,EP,27,0.012630181632717714
NSGAII-Std,RE32,EP,28,0.011246487593854949
NSGAII-Std,RE32,EP,29,0.04476781657520265
NSGAII-Std,RE33,EP,0,0.01441235404473007
NSGAII-Std,RE33,EP,1,0.0096158230755466
NSGAII-Std,RE33,EP,2,0.014962291406854107
NSGAII-Std,RE33,EP,3,0.11983864971853808
NSGAII-Std,RE33,EP,4,0.01289682817151614
NSGAII-Std,RE33,EP,5,0.013604460137764288
NSGAII-Std,RE33,EP,6,0.011945349935399977
NSGAII-Std,RE33,EP,7,0.09269688056118423
NSGAII-Std,RE33,EP,8,0.043811931767936796
NSGAII-Std,RE33,EP,9,0.06378363852470023
NSGAII-Std,RE33,EP,10,0.020227207072990888
NSGAII-Std,RE33,EP,11,0.015021188756328971
NSGAII-Std,RE33,EP,12,0.013767246143345334
NSGAII-Std,RE33,EP,13,0.00947532408115909
NSGAII-Std,RE33,EP,14,0.048225254840864276
NSGAII-Std,RE33,EP,15,0.014759325838052886
NSGAII-Std,RE33,EP,16,0.014737285726286542
NSGAII-Std,RE33,EP,17,0.01457581977978781
NSGAII-Std,RE33,EP,18,0.014608672367963085
NSGAII-Std,RE33,EP,19,0.015670900860211417
NSGAII-Std,RE33,EP,20,0.01498542863699879
NSGAII-Std,RE33,EP,21,0.01506356543741899
NSGAII-Std,RE33,EP,22,0.009423024603869047
NSGAII-Std,RE33,EP,23,0.05037262749596666
NSGAII-Std,RE33,EP,24,0.015062988667318254
NSGAII-Std,RE33,EP,25,0.010750713983834752
NSGAII-Std,RE33,EP,26,0.015850655655731717
NSGAII-Std,RE33,EP,27,0.12055358779054497
NSGAII-Std,RE33,EP,28,0.012950665319872701
NSGAII-Std,RE33,EP,29,0.012934474278563042
NSGAII-Std,RE34,EP,0,0.05337893817846581
NSGAII-Std,RE34,EP,1,0.057559856792461755
NSGAII-Std,RE34,EP,2,0.05023974437043588
NSGAII-Std,RE34,EP,3,0.041284108247267776
NSGAII-Std,RE34,EP,4,0.04863625124840929
NSGAII-Std,RE34,EP,5,0.0441228224008331
NSGAII-Std,RE34,EP,6,0.05906579229710757
NSGAII-Std,RE34,EP,7,0.05584527449448705
NSGAII-Std,RE34,EP,8,0.05774304187349971
NSGAII-Std,RE34,EP,9,0.04796627664828135
NSGAII-Std,RE34,EP,10,0.052661337321031176
NSGAII-Std,RE34,EP,11,0.174356843203377
NSGAII-Std,RE34,EP,12,0.06123069195995047
NSGAII-Std,RE34,EP,13,0.05761727904426379
NSGAII-Std,RE34,EP,14,0.06309052060993674
NSGAII-Std,RE34,EP,15,0.057610361344140666
NSGAII-Std,RE34,EP,16,0.05008076457690397
NSGAII-Std,RE34,EP,17,0.041038715714757396
NSGAII-Std,RE34,EP,18,0.0563917675766665
NSGAII-Std,RE34,EP,19,0.0582780363477893
NSGAII-Std,RE34,EP,20,0.04850876010293803
NSGAII-Std,RE34,EP,21,0.042047027364826156
NSGAII-Std,RE34,EP,22,0.057603861559462156
NSGAII-Std,RE34,EP,23,0.05757647364009793
NSGAII-Std,RE34,EP,24,0.05012263719067708
NSGAII-Std,RE34,EP,25,0.041570263993921164
NSGAII-Std,RE34,EP,26,0.045382281563277824
NSGAII-Std,RE34,EP,27,0.05294817112413722
NSGAII-Std,RE34,EP,28,0.04395799479686577
NSGAII-Std,RE34,EP,29,0.04585632353246316
NSGAII-Std,RE35,EP,0,0.012337618302672625
NSGAII-Std,RE35,EP,1,0.061341671509918594
NSGAII-Std,RE35,EP,2,0.05305594696834464
NSGAII-Std,RE35,EP,3,0.036158149752998976
NSGAII-Std,RE35,EP,4,0.0191507910390183
NSGAII-Std,RE35,EP,5,0.05695330576159503
NSGAII-Std,RE35,EP,6,0.07773085325236155
NSGAII-Std,RE35,EP,7,0.01548450037608056
NSGAII-Std,RE35,EP,8,0.04054575260830989
NSGAII-Std,RE35,EP,9,0.05161080310297719
NSGAII-Std,RE35,EP,10,0.021093486186454315
NSGAII-Std,RE35,EP,11,0.03206851873683389
NSGAII-Std,RE35,EP,12,0.04559641664991938
NSGAII-Std,RE35,EP,13,0.010802971390749656
NSGAII-Std,RE35,EP,14,0.01233744022704309
NSGAII-Std,RE35,EP,15,0.051746387723896316
NSGAII-Std,RE35,EP,16,0.01730404285218874
NSGAII-Std,RE35,EP,17,0.012632282434514835
NSGAII-Std,RE35,EP,18,0.038755065987481484
NSGAII-Std,RE35,EP,19,0.012587179673704443
NSGAII-Std,RE35,EP,20,0.046920342193095405
NSGAII-Std,RE35,EP,21,0.013466918161796383
NSGAII-Std,RE35,EP,22,0.045177408740619526
NSGAII-Std,RE35,EP,23,0.052178181487903416
NSGAII-Std,RE35,EP,24,0.07636003848280691
NSGAII-Std,RE35,EP,25,0.04538137468309196
NSGAII-Std,RE35,EP,26,0.057118514961280106
NSGAII-Std,RE35,EP,27,0.017724928209478442
NSGAII-Std,RE35,EP,28,0.01006912398457871
NSGAII-Std,RE35,EP,29,0.028810339850222622
NSGAII-Std,RE36,EP,0,0.0013225820214208032
NSGAII-Std,RE36,EP,1,0.05405405405405406
NSGAII-Std,RE36,EP,2,0.02702702702702703
NSGAII-Std,RE36,EP,3,0.02702702702702703
NSGAII-Std,RE36,EP,4,0.005764371821462916
NSGAII-Std,RE36,EP,5,0.001082640044374031
NSGAII-Std,RE36,EP,6,0.001082640044374031
NSGAII-Std,RE36,EP,7,0.003032059582572187
NSGAII-Std,RE36,EP,8,6.470696986540031E-4
NSGAII-Std,RE36,EP,9,0.02702702702702703
NSGAII-Std,RE36,EP,10,0.0027323122436462032
NSGAII-Std,RE36,EP,11,0.005764371821462916
NSGAII-Std,RE36,EP,12,0.00405489426454825
NSGAII-Std,RE36,EP,13,0.0039675347761986115
NSGAII-Std,RE36,EP,14,6.470696986540031E-4
NSGAII-Std,RE36,EP,15,0.001082640044374031
NSGAII-Std,RE36,EP,16,0.05405405405405406
NSGAII-Std,RE36,EP,17,6.470696986540031E-4
NSGAII-Std,RE36,EP,18,6.470696986540031E-4
NSGAII-Std,RE36,EP,19,0.005764371821462916
