Benchmark,Budget,reference_hv_median,extreme_hv_median,median_delta_pct,U,p_value,A,Effect,Significant
RE3D,1000,0.8498443878253513,0.8498432316493205,-0.00013604561580523187,474.0,0.7282652959955469,0.5266666666666666,negligible,False
RE3D,3000,0.8512886529050365,0.8513131755884902,0.002880654331520779,358.0,0.1761275454839878,0.3977777777777778,small,False
RE3D,5000,0.8515383686787512,0.8515279765944818,-0.0012203894330181347,483.0,0.6308762921617199,0.5366666666666666,negligible,False
RE3D,7000,0.8516338179347311,0.8516456370061631,0.0013878114258846005,291.0,0.01911239675982854,0.3233333333333333,medium,True
RWA3D,1000,0.5851843820608167,0.5851942433906863,0.0016851662778230357,419.0,0.6520436224006357,0.46555555555555556,negligible,False
RWA3D,3000,0.5858298688471234,0.5858538306694312,0.0040902356779707345,345.0,0.12235292584474146,0.38333333333333336,small,False
RWA3D,5000,0.5858496630096328,0.5858965661278847,0.008005999015325642,260.0,0.005084221723644087,0.28888888888888886,large,True
RWA3D,7000,0.5859075611100876,0.585949471931081,0.007153145611240719,287.0,0.0162848089481173,0.3188888888888889,medium,True
