Frente,Budget,Archetype RE3D (%),Archetype RWA3D (%),Dist medoid RE3D,Dist medoid RWA3D
Estimado,1000,0.1548565852560995,0.191926917632201,68.30985915492958,60.91743119266055
Real,1000,0.2465725776120197,0.1835936642229177,64.34782608695652,58.64978902953587
Estimado,3000,0.2289278598632176,0.2051855790582255,67.48400852878464,55.4054054054054
Real,3000,0.2023254998748294,0.2063245309733142,66.83168316831683,88.80778588807786
Estimado,5000,0.2526191595956538,0.1623351670378027,58.5195530726257,47.67225325884544
Real,5000,0.2257406586490247,0.1568757112668739,59.66386554621849,58.980044345898
Estimado,7000,0.1983611062301881,0.1475470672206494,56.97151424287856,42.018348623853214
Real,7000,0.1984573462502056,0.1957378490888122,53.03030303030303,55.52825552825553
