Benchmark,Frente,Muestras,R2 test,R2 CV media,R2 CV desv
RE3D,Extreme-point fronts,120,0.4784564595517019,0.0977475852204617,0.8921596370826639
RE3D,Reference fronts,120,0.3648775244604302,0.3723014552201623,0.1332935634472905
RWA3D,Extreme-point fronts,120,0.7210845302534228,0.6075681922000494,0.2367635101420319
RWA3D,Reference fronts,120,0.7500630484281409,0.6394606203164594,0.2815572976072952
