Frente,Budget,Within mean unweighted,Between mean unweighted,Separation unweighted,Within mean weighted,Between mean weighted,Separation weighted
Estimado,1000,0.3021388539534029,0.3586184494367609,0.056479595483358,0.34381479370910434,0.4321838674010962,0.0883690736919918
Real,1000,0.26762719468978924,0.301063641530112,0.0334364468403228,0.3754560364149566,0.5239689913405101,0.1485129549255535
Estimado,3000,0.3345761539940769,0.3876686057325781,0.053092451738501,0.3690258992642823,0.4431075533590669,0.0740816540947845
Real,3000,0.26377602759795904,0.3330102343090105,0.0692342067110515,0.33462407290249907,0.4954056885671117,0.1607816156646126
Estimado,5000,0.3530656754746722,0.402828739346664,0.0497630638719917,0.3990930639158058,0.497787375977457,0.0986943120616511
Real,5000,0.24593160479031229,0.3429668605814147,0.0970352557911023,0.34259504861193957,0.4944604237857185,0.1518653751737789
Estimado,7000,0.36964740610807867,0.4150909459030824,0.0454435397950037,0.3451838045062416,0.4503072195571317,0.1051234150508901
Real,7000,0.2516683256416735,0.3282249904191611,0.0765566647774875,0.3958443108630554,0.4913125047304267,0.0954681938673713
