Benchmark,Budget,HV real mediana,HV extremos mediana,Delta HV mediana (%),p,A,Efecto,Significativo
RE3D,1000,0.8498443878253513,0.8498432316493205,-0.0001360456158052,0.7282652959955469,0.5266666666666666,negligible,False
RWA3D,1000,0.5851843820608167,0.5851942433906863,0.001685166277823,0.6520436224006357,0.4655555555555555,negligible,False
RE3D,3000,0.8512886529050365,0.8513131755884902,0.0028806543315207,0.1761275454839878,0.3977777777777778,small,False
RWA3D,3000,0.5858298688471234,0.5858538306694312,0.0040902356779707,0.1223529258447414,0.3833333333333333,small,False
RE3D,5000,0.8515383686787512,0.8515279765944818,-0.0012203894330181,0.6308762921617199,0.5366666666666666,negligible,False
RWA3D,5000,0.5858496630096328,0.5858965661278847,0.0080059990153256,0.005084221723644,0.2888888888888888,large,True
RE3D,7000,0.8516338179347311,0.8516456370061631,0.0013878114258846,0.0191123967598285,0.3233333333333333,medium,True
RWA3D,7000,0.5859075611100876,0.585949471931081,0.0071531456112407,0.0162848089481173,0.3188888888888889,medium,True
