Benchmark,Frente,Budget,Parametro,Accion,supported_views,recommended_value,recommended_min,recommended_max
RWA3D,Puntos extremos,1000,blxAlphaCrossoverAlpha,Acotar,HV|joint,,0.8501599670838156,0.9938712525462188
RE3D,Real,1000,algorithmResult,Fijar,EP|HV|joint,externalArchive,,
RE3D,Real,1000,archiveType,Fijar,EP|HV|joint,unboundedArchive,,
RE3D,Real,1000,mutationRepairStrategy,Fijar,EP|joint,bounds,,
RE3D,Real,1000,variation,Fijar,EP|HV|joint,crossoverAndMutationVariation,,
RE3D,Real,1000,blxAlphaBetaCrossoverAlpha,Mantener,,,,
RE3D,Real,1000,blxAlphaBetaCrossoverBeta,Mantener,,,,
RE3D,Real,1000,blxAlphaCrossoverAlpha,Mantener,,,,
RE3D,Real,1000,boltzmannTemperature,Mantener,,,,
RE3D,Real,1000,createInitialSolutions,Mantener,,,,
RE3D,Real,1000,crossover,Mantener,,,,
RE3D,Real,1000,crossoverRepairStrategy,Mantener,,,,
RE3D,Real,1000,fuzzyRecombinationCrossoverAlpha,Mantener,,,,
RE3D,Real,1000,laplaceCrossoverScale,Mantener,,,,
RE3D,Real,1000,linkedPolynomialMutationDistributionIndex,Mantener,,,,
RE3D,Real,1000,mutation,Mantener,,,,
RE3D,Real,1000,nonUniformMutationPerturbation,Mantener,,,,
RE3D,Real,1000,offspringPopulationSize,Mantener,,,,
RE3D,Real,1000,pcxCrossoverEta,Mantener,,,,
RE3D,Real,1000,pcxCrossoverZeta,Mantener,,,,
RE3D,Real,1000,polynomialMutationDistributionIndex,Mantener,,,,
RE3D,Real,1000,powerLawMutationDelta,Mantener,,,,
RE3D,Real,1000,sbxDistributionIndex,Mantener,,,,
RE3D,Real,1000,selection,Mantener,,,,
RE3D,Real,1000,selectionTournamentSize,Mantener,,,,
RE3D,Real,1000,undcCrossoverEta,Mantener,,,,
RE3D,Real,1000,undcCrossoverZeta,Mantener,,,,
RE3D,Real,1000,uniformMutationPerturbation,Mantener,,,,
RE3D,Real,1000,crossoverProbability,Acotar,EP|HV|joint,,0.976196044727602,0.999972155411297
RE3D,Real,1000,levyFlightMutationBeta,Acotar,HV|joint,,1.0163928429253313,1.3802645557165951
RE3D,Real,1000,levyFlightMutationStepSize,Acotar,EP|joint,,0.6349391387712514,0.905210920031528
RE3D,Real,1000,mutationProbabilityFactor,Acotar,HV|joint,,0.0975693545376363,0.6339286713516641
RE3D,Real,1000,populationSizeWithArchive,Acotar,EP|HV|joint,,13.25,32.75
RWA3D,Real,1000,algorithmResult,Fijar,EP|HV|joint,externalArchive,,
RWA3D,Real,1000,archiveType,Fijar,EP|HV|joint,unboundedArchive,,
RWA3D,Real,1000,crossover,Fijar,EP|HV|joint,BLX-alpha-beta,,
RWA3D,Real,1000,mutationRepairStrategy,Fijar,EP|HV|joint,bounds,,
RWA3D,Real,1000,variation,Fijar,EP|HV|joint,crossoverAndMutationVariation,,
RWA3D,Real,1000,blxAlphaBetaCrossoverBeta,Mantener,,,,
RWA3D,Real,1000,blxAlphaCrossoverAlpha,Mantener,,,,
RWA3D,Real,1000,boltzmannTemperature,Mantener,,,,
RWA3D,Real,1000,createInitialSolutions,Mantener,,,,
RWA3D,Real,1000,crossoverProbability,Mantener,,,,
RWA3D,Real,1000,crossoverRepairStrategy,Mantener,,,,
RWA3D,Real,1000,fuzzyRecombinationCrossoverAlpha,Mantener,,,,
RWA3D,Real,1000,laplaceCrossoverScale,Mantener,,,,
RWA3D,Real,1000,levyFlightMutationBeta,Mantener,,,,
RWA3D,Real,1000,levyFlightMutationStepSize,Mantener,,,,
RWA3D,Real,1000,linkedPolynomialMutationDistributionIndex,Mantener,,,,
RWA3D,Real,1000,mutation,Mantener,,,,
RWA3D,Real,1000,mutationProbabilityFactor,Mantener,,,,
RWA3D,Real,1000,nonUniformMutationPerturbation,Mantener,,,,
RWA3D,Real,1000,offspringPopulationSize,Mantener,,,,
RWA3D,Real,1000,pcxCrossoverEta,Mantener,,,,
RWA3D,Real,1000,pcxCrossoverZeta,Mantener,,,,
RWA3D,Real,1000,polynomialMutationDistributionIndex,Mantener,,,,
