Frente,Budget,Best EP unweighted,Best HV unweighted,Best EP weighted,Best HV weighted
Estimado,1000,0.2798757171328102,0.2190611302997504,0.2270644437787243,0.2911420956388577
Real,1000,0.1698137140952432,0.2523406247163323,0.3057787039828225,0.4858755517330021
Estimado,3000,0.2646669509480652,0.2991981822663165,0.2897097899725679,0.4007903509383105
Real,3000,0.3646651260317622,0.17114068962965,0.5506817335998861,0.2704468212739075
Estimado,5000,0.3856630977603187,0.4371124625975114,0.46144693729154,0.5446143463323885
Real,5000,0.2166952978641324,0.357773052504113,0.3881916572092276,0.565010157804976
Estimado,7000,0.3941442116632143,0.2422257132491624,0.2677467928367085,0.2939441433903151
Real,7000,0.148592414707707,0.3688894184497536,0.1980224784654953,0.6830410318111421
