Propuesta,Categoricos fijados,Numericos acotados,Reduccion dimensiones (%),Reduccion complejidad (%),Reduccion media ancho numerico (%)
Global / frente real,3,0,6.451612903225806,4.898154738097327,0.0
Global / puntos extremos,3,1,6.451612903225806,6.522279730203284,3.0143540669856463
RE3D / frente real,6,3,45.16129032258065,47.47513214372299,15.731192307692307
RE3D / puntos extremos,6,3,45.16129032258065,47.54782995997916,15.95952889610258
RWA3D / frente real,5,3,32.25806451612903,35.97263319988655,15.739461148154732
RWA3D / puntos extremos,5,3,32.25806451612903,36.82438636020255,17.913119407894737
