Parameter,DefaultValue,OptimizedValue,Contribution_EP,Contribution_NHV
algorithmResult,population,externalArchive,4.92664994272171E-4,0.002651154866112136
offspringPopulationSize,100,1,0.0011227284235623613,0.0013366426653309716
createInitialSolutions,default,latinHypercubeSampling,9.282730714319223E-4,-0.0014546274970911061
crossoverRepairStrategy,bounds,random,9.715120487753881E-4,7.794771147590883E-4
mutationProbabilityFactor,1.0,0.9913896382476491,3.0043638469540775E-4,4.88087882719453E-4
crossoverProbability,0.9,0.6729893472234677,1.9269194654235322E-4,4.404243039847419E-4
