Step,Parameter,FromValue,ToValue,Performance_EP,Performance_NHV
0,Observed_Baseline,-,-,0.08031847268029219,-0.19575592792333493
1,algorithmResult,population,externalArchive,0.03846128126568787,-0.31003431797369396
2,crossoverProbability,0.9,0.7508401473188827,0.04043235317893159,-0.31002563739895134
3,crossoverRepairStrategy,bounds,random,0.04054453882758014,-0.32348089881648745
4,mutationProbabilityFactor,1.0,0.8987004036508917,0.04066866633261958,-0.31087444945042464
5,createInitialSolutions,default,latinHypercubeSampling,0.051547767939244885,-0.23146655681229364
6,offspringPopulationSize,100,10,0.07705909959019597,-0.21906787450440826
