# Evaluation: 0

EP=0.1528679140768619 HVMinus=-0.8508632377436445 | --algorithmResult externalArchive --populationSizeWithArchive 15 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.6159557587269571 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.8601178056816714 --mutation powerLaw --mutationProbabilityFactor 0.915754327074572 --mutationRepairStrategy bounds --powerLawMutationDelta 5.312470199657454 --selection ranking 
EP=0.15129253807794102 HVMinus=-0.8505065282209756 | --algorithmResult externalArchive --populationSizeWithArchive 90 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.4284760636554231 --crossoverRepairStrategy round --pcxCrossoverZeta 0.6116442555102622 --pcxCrossoverEta 0.013214259313161891 --mutation powerLaw --mutationProbabilityFactor 0.8417453598038678 --mutationRepairStrategy bounds --powerLawMutationDelta 6.488818432431079 --selection boltzmann --boltzmannTemperature 11.298118055042613 
EP=0.15308224309397025 HVMinus=-0.8509664622154113 | --algorithmResult externalArchive --populationSizeWithArchive 39 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.9992037235279518 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.5216770682778871 --blxAlphaBetaCrossoverAlpha 0.5357218840440935 --mutation nonUniform --mutationProbabilityFactor 0.8115406601071933 --mutationRepairStrategy round --nonUniformMutationPerturbation 0.18546544262537368 --selection tournament --selectionTournamentSize 8 
EP=0.15146543584396893 HVMinus=-0.8508174200874417 | --algorithmResult externalArchive --populationSizeWithArchive 28 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.6159557587269571 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.6673888776813792 --mutation powerLaw --mutationProbabilityFactor 1.6637557654625441 --mutationRepairStrategy bounds --powerLawMutationDelta 5.3114705884624325 --selection stochasticUniversalSampling 

# Evaluation: 500
EP=0.15092828853282375 HVMinus=-0.8502856395784286 | --algorithmResult externalArchive --populationSizeWithArchive 15 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.6159557587269571 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.6616369867645555 --mutation powerLaw --mutationProbabilityFactor 1.6637557654625441 --mutationRepairStrategy bounds --powerLawMutationDelta 2.24230568139496 --selection stochasticUniversalSampling 
EP=0.1510864582258264 HVMinus=-0.8504015173266664 | --algorithmResult externalArchive --populationSizeWithArchive 89 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.42486923190296516 --crossoverRepairStrategy round --pcxCrossoverZeta 0.6116442555102622 --pcxCrossoverEta 9.345387070393476E-4 --mutation powerLaw --mutationProbabilityFactor 0.8417453598038678 --mutationRepairStrategy round --powerLawMutationDelta 6.488818432431079 --selection stochasticUniversalSampling 
EP=0.15146543584396893 HVMinus=-0.8508174200874417 | --algorithmResult externalArchive --populationSizeWithArchive 28 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.6159557587269571 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.6673888776813792 --mutation powerLaw --mutationProbabilityFactor 1.6637557654625441 --mutationRepairStrategy bounds --powerLawMutationDelta 5.3114705884624325 --selection stochasticUniversalSampling 
EP=0.15071899203524847 HVMinus=-0.8494951311838496 | --algorithmResult externalArchive --populationSizeWithArchive 15 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.6159557587269571 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.6629794510719915 --mutation powerLaw --mutationProbabilityFactor 1.648085755321048 --mutationRepairStrategy round --powerLawMutationDelta 2.24230568139496 --selection stochasticUniversalSampling 
