Evaluation,SolutionId,EP,HVMinus
100,0,0.15226298559851642,-0.8485114572323579
200,0,0.15226298559851642,-0.8485114572323579
200,1,0.15386590179813572,-0.849085159141523
200,2,0.15219800000891462,-0.8478979413299278
200,3,0.1516561061888484,-0.8473473188088294
300,0,0.1516561061888484,-0.8473473188088294
300,1,0.1518333612316677,-0.8501707201153735
300,2,0.15178047270251735,-0.8479190823445616
300,3,0.15284060327729815,-0.8504587690117289
400,0,0.15165433023908628,-0.85066142601858
400,1,0.15136031100746447,-0.8484666445830399
400,2,0.15145751964884116,-0.85052739209218
500,0,0.15165433023908628,-0.85066142601858
500,1,0.15145751964884116,-0.85052739209218
500,2,0.15107468270945462,-0.8488085994707429
500,3,0.15103950554193815,-0.8470438226246159
500,4,0.151095811829826,-0.850433191894639
600,0,0.15165433023908628,-0.85066142601858
600,1,0.15145751964884116,-0.85052739209218
600,2,0.15107468270945462,-0.8488085994707429
600,3,0.15103950554193815,-0.8470438226246159
600,4,0.151095811829826,-0.850433191894639
600,5,0.1513374007238686,-0.8504618173070876
600,6,0.15152656646547974,-0.8506198904267946
600,7,0.15252130442814318,-0.8506853269284633
700,0,0.15165433023908628,-0.85066142601858
700,1,0.15103950554193815,-0.8470438226246159
700,2,0.15152656646547974,-0.8506198904267946
700,3,0.15252130442814318,-0.8506853269284633
700,4,0.15163574667341173,-0.8506455382499823
700,5,0.15061802262979201,-0.8450752576054396
700,6,0.15104060232022484,-0.8505521531695066
700,7,0.15187619146915957,-0.8506708754420406
800,0,0.15103950554193815,-0.8470438226246159
800,1,0.15152656646547974,-0.8506198904267946
800,2,0.15061802262979201,-0.8450752576054396
800,3,0.15104060232022484,-0.8505521531695066
800,4,0.1516102776341119,-0.8506938366264372
800,5,0.15227828519907352,-0.8507019500106449
800,6,0.15281121619902574,-0.8507025553089064
800,7,0.1507691716929518,-0.8454297470822018
900,0,0.15061802262979201,-0.8450752576054396
900,1,0.15104060232022484,-0.8505521531695066
900,2,0.1516102776341119,-0.8506938366264372
900,3,0.1507691716929518,-0.8454297470822018
900,4,0.1508175695727893,-0.8474462527383374
900,5,0.1514113465457527,-0.8506754190547632
900,6,0.15093020359549505,-0.8503648193552619
900,7,0.15224904349920956,-0.850973565049291
900,8,0.15042621821320248,-0.8442610791679827
1000,0,0.15061802262979201,-0.8450752576054396
1000,1,0.15104060232022484,-0.8505521531695066
1000,2,0.1516102776341119,-0.8506938366264372
1000,3,0.1507691716929518,-0.8454297470822018
1000,4,0.1514113465457527,-0.8506754190547632
1000,5,0.15093020359549505,-0.8503648193552619
1000,6,0.15224904349920956,-0.850973565049291
1000,7,0.15042621821320248,-0.8442610791679827
1000,8,0.150788206845105,-0.8489017939939786
1100,0,0.15061802262979201,-0.8450752576054396
1100,1,0.15104060232022484,-0.8505521531695066
1100,2,0.1516102776341119,-0.8506938366264372
1100,3,0.1514113465457527,-0.8506754190547632
1100,4,0.15224904349920956,-0.850973565049291
1100,5,0.15042621821320248,-0.8442610791679827
1100,6,0.15075550147820585,-0.8495432223829918
1100,7,0.1508846966632694,-0.8504956455833866
1100,8,0.15211615630662992,-0.8508196963645046
1200,0,0.15061802262979201,-0.8450752576054396
1200,1,0.15104060232022484,-0.8505521531695066
1200,2,0.1516102776341119,-0.8506938366264372
1200,3,0.1514113465457527,-0.8506754190547632
1200,4,0.15224904349920956,-0.850973565049291
1200,5,0.15042621821320248,-0.8442610791679827
