# Evaluation: 0

EP=0.01625837870975813 HVMinus=-0.8512744686624885 | --algorithmResult externalArchive --populationSizeWithArchive 47 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.888661771288763 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.35780463291754294 --mutation levyFlight --mutationProbabilityFactor 0.4075393635366036 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.48834848998998 --levyFlightMutationStepSize 0.7988749157460817 --selection ranking 
EP=0.016865983166168337 HVMinus=-0.851455023960461 | --algorithmResult externalArchive --populationSizeWithArchive 48 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.8774143782269276 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.3553322590820782 --mutation levyFlight --mutationProbabilityFactor 0.39881608788479883 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.48834848998998 --levyFlightMutationStepSize 0.7988749157460817 --selection ranking 

# Evaluation: 700
EP=0.01666528960235863 HVMinus=-0.8514971277364028 | --algorithmResult externalArchive --populationSizeWithArchive 48 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.8911046649841008 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.35645582644725626 --mutation levyFlight --mutationProbabilityFactor 0.4092526663608048 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.48834848998998 --levyFlightMutationStepSize 0.7988749157460817 --selection ranking 
EP=0.015743737077546182 HVMinus=-0.8513946929451478 | --algorithmResult externalArchive --populationSizeWithArchive 48 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.8911046649841008 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.35655640588153426 --mutation levyFlight --mutationProbabilityFactor 0.407287613354412 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.48834848998998 --levyFlightMutationStepSize 0.7988749157460817 --selection ranking 
EP=0.016348574003155165 HVMinus=-0.8514070416880963 | --algorithmResult externalArchive --populationSizeWithArchive 47 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.888661771288763 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.35768779735156786 --mutation levyFlight --mutationProbabilityFactor 0.8576897172781189 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.48834848998998 --levyFlightMutationStepSize 0.7988749157460817 --selection ranking 
EP=0.016424184529798425 HVMinus=-0.8514563034080199 | --algorithmResult externalArchive --populationSizeWithArchive 47 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.8774572493661766 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.35555092229148555 --mutation levyFlight --mutationProbabilityFactor 0.4252879613215876 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.48834848998998 --levyFlightMutationStepSize 0.7987687912526361 --selection ranking 

# Evaluation: 800
