# Evaluation: 0

EP=0.15541418102328544 HVMinus=-0.8457585513384676 | --algorithmResult externalArchive --populationSizeWithArchive 87 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6631848659316829 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.7762865167051564 --blxAlphaBetaCrossoverAlpha 0.9196826085521471 --mutation linkedPolynomial --mutationProbabilityFactor 1.1495647168459282 --mutationRepairStrategy round --linkedPolynomialMutationDistributionIndex 144.9864448357242 --selection stochasticUniversalSampling 

# Evaluation: 400
EP=0.15139537953545856 HVMinus=-0.8442726750752028 | --algorithmResult externalArchive --populationSizeWithArchive 87 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6631848659316829 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.7762865167051564 --blxAlphaBetaCrossoverAlpha 0.922209684919857 --mutation linkedPolynomial --mutationProbabilityFactor 0.8034493773815243 --mutationRepairStrategy round --linkedPolynomialMutationDistributionIndex 134.28761122376523 --selection stochasticUniversalSampling 
EP=0.15602720780536883 HVMinus=-0.8477084246524261 | --algorithmResult externalArchive --populationSizeWithArchive 40 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7275880760163828 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7369862751465224 --mutation levyFlight --mutationProbabilityFactor 0.011974699027648583 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5521197951276289 --levyFlightMutationStepSize 0.8813481626886375 --selection stochasticUniversalSampling 
EP=0.1551475728049906 HVMinus=-0.8467520497584446 | --algorithmResult externalArchive --populationSizeWithArchive 37 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7284086185115011 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7405270801581517 --mutation levyFlight --mutationProbabilityFactor 1.6000217099458875 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5521197951276289 --levyFlightMutationStepSize 0.8840569666450007 --selection stochasticUniversalSampling 

# Evaluation: 500
EP=0.15139537953545856 HVMinus=-0.8442726750752028 | --algorithmResult externalArchive --populationSizeWithArchive 87 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6631848659316829 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.7762865167051564 --blxAlphaBetaCrossoverAlpha 0.922209684919857 --mutation linkedPolynomial --mutationProbabilityFactor 0.8034493773815243 --mutationRepairStrategy round --linkedPolynomialMutationDistributionIndex 134.28761122376523 --selection stochasticUniversalSampling 
EP=0.15602720780536883 HVMinus=-0.8477084246524261 | --algorithmResult externalArchive --populationSizeWithArchive 40 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7275880760163828 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7369862751465224 --mutation levyFlight --mutationProbabilityFactor 0.011974699027648583 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5521197951276289 --levyFlightMutationStepSize 0.8813481626886375 --selection stochasticUniversalSampling 
