# Evaluation: 0

EP=0.1526520613843707 HVMinus=-0.8424987518475984 | --algorithmResult externalArchive --populationSizeWithArchive 102 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover fuzzyRecombination --crossoverProbability 0.8780760405729116 --crossoverRepairStrategy random --fuzzyRecombinationCrossoverAlpha 0.9272004093672398 --mutation powerLaw --mutationProbabilityFactor 0.9413465805294191 --mutationRepairStrategy bounds --powerLawMutationDelta 9.060988469944386 --selection boltzmann --boltzmannTemperature 27.654998984303436 

# Evaluation: 400
EP=0.15254155179693898 HVMinus=-0.8473364965467336 | --algorithmResult externalArchive --populationSizeWithArchive 63 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8786424691133206 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.31592695411080285 --mutation levyFlight --mutationProbabilityFactor 1.2915784045061487 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.6116850066937112 --levyFlightMutationStepSize 0.24601587628247049 --selection boltzmann --boltzmannTemperature 8.154522561633119 
EP=0.15240504026102505 HVMinus=-0.8443237327502467 | --algorithmResult externalArchive --populationSizeWithArchive 105 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover fuzzyRecombination --crossoverProbability 0.723064433323796 --crossoverRepairStrategy random --fuzzyRecombinationCrossoverAlpha 0.5368249063767221 --mutation powerLaw --mutationProbabilityFactor 1.3271696562636615 --mutationRepairStrategy bounds --powerLawMutationDelta 9.051719003774824 --selection tournament --selectionTournamentSize 5 
EP=0.15570162878675275 HVMinus=-0.8481736622925861 | --algorithmResult externalArchive --populationSizeWithArchive 78 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8780760405729116 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.907195793625355 --mutation levyFlight --mutationProbabilityFactor 1.2954333017276416 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.612782892705413 --levyFlightMutationStepSize 0.2711467516315976 --selection boltzmann --boltzmannTemperature 11.501481052598644 

# Evaluation: 500
EP=0.15254155179693898 HVMinus=-0.8473364965467336 | --algorithmResult externalArchive --populationSizeWithArchive 63 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8786424691133206 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.31592695411080285 --mutation levyFlight --mutationProbabilityFactor 1.2915784045061487 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.6116850066937112 --levyFlightMutationStepSize 0.24601587628247049 --selection boltzmann --boltzmannTemperature 8.154522561633119 
EP=0.15240504026102505 HVMinus=-0.8443237327502467 | --algorithmResult externalArchive --populationSizeWithArchive 105 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover fuzzyRecombination --crossoverProbability 0.723064433323796 --crossoverRepairStrategy random --fuzzyRecombinationCrossoverAlpha 0.5368249063767221 --mutation powerLaw --mutationProbabilityFactor 1.3271696562636615 --mutationRepairStrategy bounds --powerLawMutationDelta 9.051719003774824 --selection tournament --selectionTournamentSize 5 
EP=0.15570162878675275 HVMinus=-0.8481736622925861 | --algorithmResult externalArchive --populationSizeWithArchive 78 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8780760405729116 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.907195793625355 --mutation levyFlight --mutationProbabilityFactor 1.2954333017276416 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.612782892705413 --levyFlightMutationStepSize 0.2711467516315976 --selection boltzmann --boltzmannTemperature 11.501481052598644 
EP=0.15242128211982883 HVMinus=-0.8450844766626051 | --algorithmResult externalArchive --populationSizeWithArchive 63 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8947285172823651 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.31592695411080285 --mutation levyFlight --mutationProbabilityFactor 1.2915734289496184 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.620364759623302 --levyFlightMutationStepSize 0.8721056878154867 --selection tournament --selectionTournamentSize 2 
EP=0.15533532112319268 HVMinus=-0.847716648545377 | --algorithmResult externalArchive --populationSizeWithArchive 141 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8785642008375792 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.5846984727156741 --mutation levyFlight --mutationProbabilityFactor 1.2622129012297936 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.6116850066937112 --levyFlightMutationStepSize 0.2604650494964262 --selection boltzmann --boltzmannTemperature 8.154522561633119 
EP=0.15469013083826005 HVMinus=-0.8474130104412778 | --algorithmResult externalArchive --populationSizeWithArchive 63 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8786424691133206 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.31592695411080285 --mutation levyFlight --mutationProbabilityFactor 1.2915784045061487 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.6116850066937112 --levyFlightMutationStepSize 0.25427572986121966 --selection boltzmann --boltzmannTemperature 8.154522561633119 
EP=0.15563333552913092 HVMinus=-0.8479154388341196 | --algorithmResult externalArchive --populationSizeWithArchive 78 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8780760405729116 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.907195793625355 --mutation levyFlight --mutationProbabilityFactor 1.2954333017276416 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.612782892705413 --levyFlightMutationStepSize 0.325213977465213 --selection boltzmann --boltzmannTemperature 11.501481052598644 
EP=0.1550297671358642 HVMinus=-0.8475816500061751 | --algorithmResult externalArchive --populationSizeWithArchive 62 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.879287457602347 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.2171702881322715 --pcxCrossoverEta 0.25035305458671414 --mutation levyFlight --mutationProbabilityFactor 1.2915734289496184 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5957267074452108 --levyFlightMutationStepSize 0.9732811933080773 --selection tournament --selectionTournamentSize 8 

# Evaluation: 600
EP=0.15254155179693898 HVMinus=-0.8473364965467336 | --algorithmResult externalArchive --populationSizeWithArchive 63 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8786424691133206 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.31592695411080285 --mutation levyFlight --mutationProbabilityFactor 1.2915784045061487 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.6116850066937112 --levyFlightMutationStepSize 0.24601587628247049 --selection boltzmann --boltzmannTemperature 8.154522561633119 
EP=0.15469013083826005 HVMinus=-0.8474130104412778 | --algorithmResult externalArchive --populationSizeWithArchive 63 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8786424691133206 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.31592695411080285 --mutation levyFlight --mutationProbabilityFactor 1.2915784045061487 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.6116850066937112 --levyFlightMutationStepSize 0.25427572986121966 --selection boltzmann --boltzmannTemperature 8.154522561633119 
EP=0.15452997977217234 HVMinus=-0.8473479968341842 | --algorithmResult externalArchive --populationSizeWithArchive 78 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8780760405729116 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.8880785451973359 --mutation levyFlight --mutationProbabilityFactor 1.2954333017276416 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.612782892705413 --levyFlightMutationStepSize 0.6866275302653551 --selection boltzmann --boltzmannTemperature 11.44276448365922 
EP=0.15498020581384644 HVMinus=-0.8482651621114835 | --algorithmResult externalArchive --populationSizeWithArchive 78 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8780760405729116 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.8726815358734656 --mutation levyFlight --mutationProbabilityFactor 1.2954333017276416 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.6127215740356573 --levyFlightMutationStepSize 0.27127684960240245 --selection boltzmann --boltzmannTemperature 11.501481052598644 
